Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2018,2018,2018,6,1,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,401511,"Rubber; vulcanised (other than hard rubber), surgical gloves",8,Weight in kilograms,86084,,,,86084,,218243,,,0
H4,2018,2018,2018,6,1,1,Import,4,Afghanistan,AFG,156,China,CHN,,,,,,,,401511,"Rubber; vulcanised (other than hard rubber), surgical gloves",8,Weight in kilograms,21925,,,,21925,,71774,,,0
H4,2018,2018,2018,6,1,1,Import,4,Afghanistan,AFG,458,Malaysia,MYS,,,,,,,,401511,"Rubber; vulcanised (other than hard rubber), surgical gloves",8,Weight in kilograms,59665,,,,59665,,123568,,,0
H4,2018,2018,2018,6,1,1,Import,4,Afghanistan,AFG,792,Turkey,TUR,,,,,,,,401511,"Rubber; vulcanised (other than hard rubber), surgical gloves",8,Weight in kilograms,65,,,,65,,187,,,0
H4,2018,2018,2018,6,1,1,Import,4,Afghanistan,AFG,860,Uzbekistan,UZB,,,,,,,,401511,"Rubber; vulcanised (other than hard rubber), surgical gloves",8,Weight in kilograms,4429,,,,4429,,22712,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,28600,,23036,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,364,Iran,IRN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,28600,,23036,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,105925,,,,105925,,21580539,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1013,,,,1013,,547574,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1292,,,,1292,,833305,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,74700,,,,74700,,13442972,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,18,,,,18,,16514,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,28901,,,,28901,,6740172,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,10220,,,,10220,,27944,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,364,Iran,IRN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,10220,,,,10220,,27944,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,299067,,,,299067,,2682135,,,0
H4,2019,2019,2019,6,1,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,76,,,,76,,26872,,,0
H4,2019,2019,2019,6,1,3,Re-Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,76,,,,76,,26872,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,36,Australia,AUS,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,50,,,,50,,37301,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,40,Austria,AUT,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,1346,,,,1346,,71805,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,124,Canada,CAN,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,2,,,,2,,1284,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,156,China,CHN,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,18851,,,,18851,,150132,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,251,France,FRA,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,1374,,,,1374,,57642,,,0
H4,2019,2019,2019,6,1,1,Import,4,Afghanistan,AFG,276,Germany,DEU,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,10285,,,,10285,,641804,,,0
