Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,356599,,,,,,52581,,,6
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,56,Belgium,BEL,,,,,,,,280440,Oxygen,12,Volume in cubic meters,22157,,,,56,,3267,,,2
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,251,France,FRA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,41791,,,,432,,6162,,,2
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,752,Sweden,SWE,,,,,,,,280440,Oxygen,12,Volume in cubic meters,242372,,,,,,35738,,,6
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,788,Tunisia,TUN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,19306,,,,155,,2846,,,2
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,826,United Kingdom,GBR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,3767,,,,,,555,,,6
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,27206,,,,16,,4011,,,2
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,247242,,,,247242,,83100698,,,6
H5,2017,2017,2017,6,1,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,606,,,,606,,864342,,,0
H5,2017,2017,2017,6,1,2,Export,12,Algeria,DZA,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,606,,,,606,,864342,,,0
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,100,Bulgaria,BGR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,399,,,,399,,242568,,,0
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,40874,,,,40874,,11292291,,,0
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,351,,,,351,,29000,,,6
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,372,Ireland,IRL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,95688,,,,95688,,43248997,,,0
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,11,,,,11,,466,,,0
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3364,,,,3364,,5986402,,,0
