Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,169513,,142564,,,2
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,251,France,FRA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,20196,,12926,,,2
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,381,Italy,ITA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,1,,18,,,2
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,724,Spain,ESP,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,149316,,129619,,,2
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,10125,,,,10125,,1991414,,,0
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,9117,,,,9117,,1416847,,,0
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,279,,,,279,,262663,,,0
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,724,Spain,ESP,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,620,,,,620,,248068,,,0
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,108,,,,108,,63834,,,0
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,20299,,,,20299,,89082,,,0
