Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1120697,,,,,,175945,,,6
H5,2018,2018,2018,6,1,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,39141,,,,,,7005,,,6
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,76,Brazil,BRA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,3539,,,,29,,555,,,2
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,156,China,CHN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,49912,,,,2927,,7836,,,6
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,178,Congo,COG,,,,,,,,280440,Oxygen,12,Volume in cubic meters,28062,,,,5320,,4405,,,2
H5,2018,2018,2018,6,1,2,Export,24,Angola,AGO,178,Congo,COG,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1600,,,,52,,286,,,2
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,251,France,FRA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,31034,,,,1198,,4872,,,6
H5,2018,2018,2018,6,1,2,Export,24,Angola,AGO,251,France,FRA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,5303,,,,,,949,,,6
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,276,Germany,DEU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,483,,,,1,,75,,,2
H5,2018,2018,2018,6,1,1,Import,24,Angola,AGO,300,Greece,GRC,,,,,,,,280440,Oxygen,12,Volume in cubic meters,688,,,,121,,108,,,2
