Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,,,22490,,,0
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,28,Antigua and Barbuda,ATG,,,,,,,,280440,Oxygen,1,No Quantity,,,,,,,12884,,,0
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,251,France,FRA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,,,74,,,0
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,530,Neth. Antilles,ANT,,,,,,,,280440,Oxygen,1,No Quantity,,,,,,,3752,,,0
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,,,5779,,,0
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,0,World,WLD,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,57,,,,57,,10604,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,28,Antigua and Barbuda,ATG,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,1,,,,1,,239,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,52,Barbados,BRB,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,1,,,,1,,115,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,56,Belgium,BEL,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,11,,,,11,,2018,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,124,Canada,CAN,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,0,,,,0,,8,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,251,France,FRA,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,5,,,,5,,843,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,348,Hungary,HUN,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,1,,,,1,,237,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,410,Rep. of Korea,KOR,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,10,,,,10,,1827,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,528,Netherlands,NLD,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,6,,,,6,,1091,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,699,India,IND,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,2,,,,2,,354,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,842,USA,USA,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,21,,,,21,,3873,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,0,World,WLD,,,,,,,,382100,Prepared culture media for developing micro-organisms,8,Weight in kilograms,231,,,,231,,5720,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,842,USA,USA,,,,,,,,382100,Prepared culture media for developing micro-organisms,8,Weight in kilograms,231,,,,231,,5720,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,0,World,WLD,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,432,,,,432,,27870,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,52,Barbados,BRB,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,4,,,,4,,270,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,124,Canada,CAN,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,2,,,,2,,146,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,530,Neth. Antilles,ANT,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,3,,,,3,,193,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,842,USA,USA,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,422,,,,422,,27262,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,0,World,WLD,,,,,,,,401511,Rubber surgical gloves,8,Weight in kilograms,7155,,,,7155,,31401,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,124,Canada,CAN,,,,,,,,401511,Rubber surgical gloves,8,Weight in kilograms,3,,,,3,,14,,,6
H0,2000,2000,2000,6,1,1,Import,660,Anguilla,AIA,530,Neth. Antilles,ANT,,,,,,,,401511,Rubber surgical gloves,8,Weight in kilograms,6,,,,6,,28,,,6
