Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2013,2013,2013,6,1,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,43878,,24692,,,0
H3,2013,2013,2013,6,1,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,67806,,24260,,,0
H3,2013,2013,2013,6,1,3,Re-Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,5839,,4637,,,0
H3,2013,2013,2013,6,1,2,Export,28,Antigua and Barbuda,ATG,500,Montserrat,MSR,,,,,,,,280440,Oxygen,1,No Quantity,,,,,55744,,14547,,,0
H3,2013,2013,2013,6,1,3,Re-Export,28,Antigua and Barbuda,ATG,500,Montserrat,MSR,,,,,,,,280440,Oxygen,1,No Quantity,,,,,5819,,3872,,,0
H3,2013,2013,2013,6,1,1,Import,28,Antigua and Barbuda,ATG,531,Curaçao,CUW,,,,,,,,280440,Oxygen,1,No Quantity,,,,,19051,,7256,,,0
H3,2013,2013,2013,6,1,2,Export,28,Antigua and Barbuda,ATG,659,Saint Kitts and Nevis,KNA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,12042,,8948,,,0
H3,2013,2013,2013,6,1,1,Import,28,Antigua and Barbuda,ATG,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,24827,,17435,,,0
H3,2013,2013,2013,6,1,2,Export,28,Antigua and Barbuda,ATG,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,20,,765,,,0
H3,2013,2013,2013,6,1,3,Re-Export,28,Antigua and Barbuda,ATG,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,20,,765,,,0
H3,2013,2013,2013,6,1,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,446,,,,446,,61766,,,0
H3,2013,2013,2013,6,1,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,82,,,,82,,5763,,,0
H3,2013,2013,2013,6,1,3,Re-Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,82,,,,82,,5763,,,0
H3,2013,2013,2013,6,1,1,Import,28,Antigua and Barbuda,ATG,52,Barbados,BRB,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,28,,,,28,,4457,,,0
H3,2013,2013,2013,6,1,1,Import,28,Antigua and Barbuda,ATG,251,France,FRA,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,50,,,,50,,5992,,,0
H3,2013,2013,2013,6,1,1,Import,28,Antigua and Barbuda,ATG,381,Italy,ITA,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,25,,,,25,,3711,,,0
H3,2013,2013,2013,6,1,1,Import,28,Antigua and Barbuda,ATG,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,159,,,,159,,13284,,,0
H3,2013,2013,2013,6,1,2,Export,28,Antigua and Barbuda,ATG,500,Montserrat,MSR,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,82,,,,82,,5763,,,0
H3,2013,2013,2013,6,1,3,Re-Export,28,Antigua and Barbuda,ATG,500,Montserrat,MSR,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,82,,,,82,,5763,,,0
H3,2013,2013,2013,6,1,1,Import,28,Antigua and Barbuda,ATG,531,Curaçao,CUW,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,5,,,,5,,892,,,0
H3,2013,2013,2013,6,1,1,Import,28,Antigua and Barbuda,ATG,699,India,IND,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,21,,,,21,,3060,,,0
H3,2013,2013,2013,6,1,1,Import,28,Antigua and Barbuda,ATG,780,Trinidad and Tobago,TTO,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,9,,,,9,,1296,,,0
H3,2013,2013,2013,6,1,1,Import,28,Antigua and Barbuda,ATG,842,USA,USA,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,149,,,,149,,29073,,,0
