Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,155978,,,6
H5,2018,2018,2018,6,1,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,74150,,,,100517,,29419,,,0
H5,2018,2018,2018,6,1,1,Import,32,Argentina,ARG,56,Belgium,BEL,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1284,,,,1623,,8044,,,0
H5,2018,2018,2018,6,1,1,Import,32,Argentina,ARG,124,Canada,CAN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,174,,,,233,,391,,,0
H5,2018,2018,2018,6,1,1,Import,32,Argentina,ARG,152,Chile,CHL,,,,,,,,280440,Oxygen,12,Volume in cubic meters,25113,,,,34004,,12243,,,0
H5,2018,2018,2018,6,1,1,Import,32,Argentina,ARG,246,Finland,FIN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,1515,,,6
H5,2018,2018,2018,6,1,1,Import,32,Argentina,ARG,276,Germany,DEU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1000,,,,896,,9237,,,0
H5,2018,2018,2018,6,1,1,Import,32,Argentina,ARG,484,Mexico,MEX,,,,,,,,280440,Oxygen,12,Volume in cubic meters,540,,,,722,,14083,,,0
H5,2018,2018,2018,6,1,1,Import,32,Argentina,ARG,600,Paraguay,PRY,,,,,,,,280440,Oxygen,12,Volume in cubic meters,396000,,,,525184,,106433,,,0
H5,2018,2018,2018,6,1,1,Import,32,Argentina,ARG,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,130,,,,173,,4027,,,0
