Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2009,2009,2009,6,1,0,M,533,Aruba,ABW,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,220144,,71332,71332,,0
H3,2009,2009,2009,6,1,0,M,533,Aruba,ABW,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,45,,13,13,,0
H3,2009,2009,2009,6,1,0,M,533,Aruba,ABW,530,Neth. Antilles,ANT,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,45,,1295,1295,,0
H3,2009,2009,2009,6,1,0,M,533,Aruba,ABW,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,319,,10531,10531,,0
H3,2009,2009,2009,6,1,0,M,533,Aruba,ABW,862,Venezuela,VEN,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,219735,,59494,59494,,0
H3,2009,2009,2009,6,1,0,X,533,Aruba,ABW,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,15000,,1358,,1358,0
H3,2009,2009,2009,6,1,0,X,533,Aruba,ABW,530,Neth. Antilles,ANT,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,15000,,1358,,1358,0
H3,2010,2010,2010,6,1,0,M,533,Aruba,ABW,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,177445,,76989,76989,,0
H3,2010,2010,2010,6,1,0,M,533,Aruba,ABW,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,93426,,35922,35922,,0
H3,2010,2010,2010,6,1,0,M,533,Aruba,ABW,528,Netherlands,NLD,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,21,,796,796,,0
H3,2010,2010,2010,6,1,0,M,533,Aruba,ABW,530,Neth. Antilles,ANT,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,39050,,15435,15435,,0
H3,2010,2010,2010,6,1,0,M,533,Aruba,ABW,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,516,,15651,15651,,0
H3,2010,2010,2010,6,1,0,M,533,Aruba,ABW,862,Venezuela,VEN,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,44432,,9187,9187,,0
H3,2011,2011,2011,6,1,0,M,533,Aruba,ABW,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,12,m³,558521,-1,N/A,,266366,,116844,116844,,2
H3,2011,2011,2011,6,1,0,M,533,Aruba,ABW,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,12,m³,413832,-1,N/A,,246992,,86575,86575,,2
H3,2011,2011,2011,6,1,0,M,533,Aruba,ABW,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,12,m³,50436,-1,N/A,,124,,10551,10551,,2
H3,2011,2011,2011,6,1,0,M,533,Aruba,ABW,862,Venezuela,VEN,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,12,m³,94253,-1,N/A,,19250,,19718,19718,,2
H3,2012,2012,2012,6,1,0,M,533,Aruba,ABW,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,12,m³,476630,-1,N/A,,245052,,103088,103088,,2
H3,2012,2012,2012,6,1,0,M,533,Aruba,ABW,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,12,m³,423134,-1,N/A,,238530,,91517,91517,,2
H3,2012,2012,2012,6,1,0,M,533,Aruba,ABW,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,12,m³,22785,-1,N/A,,118,,4928,4928,,2
H3,2012,2012,2012,6,1,0,M,533,Aruba,ABW,862,Venezuela,VEN,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,12,m³,30712,-1,N/A,,6404,,6642,6642,,2
H3,2013,2013,2013,6,1,0,M,533,Aruba,ABW,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,328229,,132885,132885,,0
H3,2013,2013,2013,6,1,0,M,533,Aruba,ABW,170,Colombia,COL,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,243500,,65385,65385,,0
H3,2013,2013,2013,6,1,0,M,533,Aruba,ABW,531,Curaçao,CUW,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,28700,,6453,6453,,0
H3,2013,2013,2013,6,1,0,M,533,Aruba,ABW,842,USA,USA,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,18549,,13975,13975,,0
H3,2013,2013,2013,6,1,0,M,533,Aruba,ABW,862,Venezuela,VEN,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,37480,,47071,47071,,0
H3,2013,2013,2013,6,1,0,X,533,Aruba,ABW,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,280440,Oxygen,-1,N/A,,-1,N/A,,7101,,3554,,3554,0
