Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,37452,,,6
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,276,Germany,DEU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,51,,,,10,,350,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,410,Rep. of Korea,KOR,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,6024,,,6
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,642,Romania,ROU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,300,,,,400,,3055,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,784,United Arab Emirates,ARE,,,,,,,,280440,Oxygen,12,Volume in cubic meters,17,,,,108,,4537,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,792,Turkey,TUR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,10,,,,14,,942,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,826,United Kingdom,GBR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1487,,,,1425,,1221,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,176709,,21320,,,6
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,17084,,,,17084,,4576180,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3790,,,,3790,,1728239,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,100,Bulgaria,BGR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,513,,,,513,,87404,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,203,Czechia,CZE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,79,,,,79,,7730,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,388,,,,388,,185552,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,344,"China, Hong Kong SAR",HKG,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,0,,,,0,,12,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,360,Indonesia,IDN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,298,,,,298,,54586,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,620,,,,620,,55390,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3909,,,,3909,,567982,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1656,,,,1656,,518685,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,5771,,,,5771,,1362700,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,804,Ukraine,UKR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,57,,,,57,,7898,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,834446,,,,834446,,2948979,,,0
H5,2018,2018,2018,6,1,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1,,,,1,,26,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,40,Austria,AUT,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,0,,,,0,,197,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,50,Bangladesh,BGD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,184,,,,184,,10540,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,3093,,,,3093,,15728,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,156,China,CHN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,30662,,,,30662,,82367,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,203,Czechia,CZE,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,450,,,,450,,3990,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,251,France,FRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,33535,,,,33535,,174810,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,276,Germany,DEU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,151082,,,,151082,,429527,,,0
H5,2018,2018,2018,6,1,2,Export,31,Azerbaijan,AZE,276,Germany,DEU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1,,,,1,,26,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,348,Hungary,HUN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,308,,,,308,,698,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,364,Iran,IRN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,69239,,,,69239,,79243,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,381,Italy,ITA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5820,,,,5820,,14710,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,528,Netherlands,NLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2692,,,,2692,,19392,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,616,Poland,POL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2417,,,,2417,,11578,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,643,Russian Federation,RUS,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,52396,,,,52396,,104726,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,699,India,IND,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5098,,,,5098,,53100,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,705,Slovenia,SVN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,531,,,,531,,3329,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,724,Spain,ESP,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,6710,,,,6710,,18220,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,757,Switzerland,CHE,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5710,,,,5710,,12995,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,764,Thailand,THA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,27080,,,,27080,,32913,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,792,Turkey,TUR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,407985,,,,407985,,1751208,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,804,Ukraine,UKR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,455,,,,455,,4723,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,826,United Kingdom,GBR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,26948,,,,26948,,113325,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,842,USA,USA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2046,,,,2046,,11650,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,4580,,,,4580,,366429,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,56,Belgium,BEL,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,5,,,,5,,1242,,,0
H5,2018,2018,2018,6,1,1,Import,31,Azerbaijan,AZE,156,China,CHN,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,64,,,,64,,3547,,,0
