Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,111693,,655777,,,0
H4,2013,2013,2013,6,1,2,Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,800,,16755,,,0
H4,2013,2013,2013,6,1,3,Re-Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,800,,16755,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,111693,,655777,,,0
H4,2013,2013,2013,6,1,2,Export,44,Bahamas,BHS,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,800,,16755,,,0
H4,2013,2013,2013,6,1,3,Re-Export,44,Bahamas,BHS,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,800,,16755,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,19689,,,,19689,,708299,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,100,,,,100,,3600,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,62,,,,62,,2236,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,33,,,,33,,1190,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,591,Panama,PAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,44,,,,44,,1572,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,18020,,,,18020,,648062,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,899,"Areas, nes",,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1432,,,,1432,,51639,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,49199,,,,49199,,1192160,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,52,Barbados,BRB,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1623,,,,1623,,10230,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,0,,,,0,,4313,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,156,China,CHN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,0,,,,0,,412,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,528,Netherlands,NLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,0,,,,0,,1313,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,780,Trinidad and Tobago,TTO,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1,,,,1,,57042,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,826,United Kingdom,GBR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1975,,,,1975,,49342,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,842,USA,USA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,45599,,,,45599,,1069508,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,3134,,,,3134,,54852,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,136,Cayman Isds,CYM,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,207,,,,207,,3831,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,276,Germany,DEU,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,108,,,,108,,2058,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,842,USA,USA,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,2819,,,,2819,,48963,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,209173,,,,209173,,4888178,,,0
H4,2013,2013,2013,6,1,2,Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,1,,,,1,,14,,,0
H4,2013,2013,2013,6,1,3,Re-Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,1,,,,1,,14,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,36,Australia,AUS,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,119,,,,119,,2313,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,124,Canada,CAN,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,711,,,,711,,21510,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,156,China,CHN,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,33,,,,33,,1496,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,251,France,FRA,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,45,,,,45,,870,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,276,Germany,DEU,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,2414,,,,2414,,66932,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,392,Japan,JPN,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,20,,,,20,,397,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,528,Netherlands,NLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,3,,,,3,,61,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,591,Panama,PAN,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,1309,,,,1309,,60011,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,724,Spain,ESP,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,0,,,,0,,3,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,780,Trinidad and Tobago,TTO,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,453,,,,453,,11308,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,826,United Kingdom,GBR,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,1367,,,,1367,,61651,,,0
H4,2013,2013,2013,6,1,1,Import,44,Bahamas,BHS,842,USA,USA,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,202653,,,,202653,,4659509,,,0
H4,2013,2013,2013,6,1,2,Export,44,Bahamas,BHS,842,USA,USA,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,1,,,,1,,14,,,0
