Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,7266,,,6
H5,2017,2017,2017,6,1,2,Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,406586,,62088,,,2
H5,2017,2017,2017,6,1,3,Re-Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,280440,Oxygen,8,Weight in kilograms,6166,,,,6166,,9447,,,0
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,276,Germany,DEU,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,893,,,6
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,414,Kuwait,KWT,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,1025,,1525,,,2
H5,2017,2017,2017,6,1,2,Export,48,Bahrain,BHR,579,Norway,NOR,,,,,,,,280440,Oxygen,8,Weight in kilograms,1250,,,,1250,,2082,,,0
H5,2017,2017,2017,6,1,3,Re-Export,48,Bahrain,BHR,579,Norway,NOR,,,,,,,,280440,Oxygen,8,Weight in kilograms,1250,,,,1250,,2082,,,0
H5,2017,2017,2017,6,1,2,Export,48,Bahrain,BHR,682,Saudi Arabia,SAU,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,400000,,49999,,,2
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,699,India,IND,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,750,,1290,,,2
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,784,United Arab Emirates,ARE,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,425,,3366,,,6
H5,2017,2017,2017,6,1,2,Export,48,Bahrain,BHR,837,Bunkers,,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,2818,,2880,,,2
H5,2017,2017,2017,6,1,3,Re-Export,48,Bahrain,BHR,837,Bunkers,,,,,,,,,280440,Oxygen,8,Weight in kilograms,2398,,,,2398,,239,,,0
H5,2017,2017,2017,6,1,2,Export,48,Bahrain,BHR,838,Free Zones,,,,,,,,,280440,Oxygen,8,Weight in kilograms,2518,,,,2518,,7124,,,0
H5,2017,2017,2017,6,1,3,Re-Export,48,Bahrain,BHR,838,Free Zones,,,,,,,,,280440,Oxygen,8,Weight in kilograms,2518,,,,2518,,7124,,,0
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,190,,,6
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4696,,,,4696,,3669145,,,0
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1861,,,,1861,,1566547,,,0
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,76,Brazil,BRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4,,,,4,,1107,,,0
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,211,,,,211,,240355,,,0
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,372,Ireland,IRL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,375,,,,375,,795373,,,0
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,817,,,,817,,242396,,,0
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,682,Saudi Arabia,SAU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,658,,,,658,,651869,,,0
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,399,,,,399,,39467,,,0
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,757,Switzerland,CHE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,269,,,,269,,37651,,,0
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,5,,,,5,,7260,,,0
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,95,,,,95,,87115,,,0
