Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,1,Import,50,Bangladesh,BGD,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1214949,,,,933755,,201465,,,4
H4,2012,2012,2012,6,1,1,Import,50,Bangladesh,BGD,699,India,IND,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1214157,,,,901004,,194399,,,4
H4,2012,2012,2012,6,1,1,Import,50,Bangladesh,BGD,702,Singapore,SGP,,,,,,,,280440,Oxygen,12,Volume in cubic meters,791,,,,32228,,6953,,,4
H4,2012,2012,2012,6,1,1,Import,50,Bangladesh,BGD,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1,,,,523,,113,,,4
H4,2012,2012,2012,6,1,1,Import,50,Bangladesh,BGD,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,331355,,,,331355,,71832565,,,0
H4,2012,2012,2012,6,1,2,Export,50,Bangladesh,BGD,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,76339,,,,76339,,598509,,,0
H4,2012,2012,2012,6,1,2,Export,50,Bangladesh,BGD,4,Afghanistan,AFG,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,657,,,,657,,16149,,,0
H4,2012,2012,2012,6,1,1,Import,50,Bangladesh,BGD,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,15303,,,,15303,,4899522,,,0
H4,2012,2012,2012,6,1,2,Export,50,Bangladesh,BGD,84,Belize,BLZ,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,6,,,,6,,3609,,,0
H4,2012,2012,2012,6,1,2,Export,50,Bangladesh,BGD,104,Myanmar,MMR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,43257,,,,43257,,134128,,,0
H4,2012,2012,2012,6,1,1,Import,50,Bangladesh,BGD,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,100,,,,100,,1677,,,0
H4,2012,2012,2012,6,1,2,Export,50,Bangladesh,BGD,144,Sri Lanka,LKA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1154,,,,1154,,24463,,,0
H4,2012,2012,2012,6,1,1,Import,50,Bangladesh,BGD,156,China,CHN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,360,,,,360,,730416,,,0
H4,2012,2012,2012,6,1,1,Import,50,Bangladesh,BGD,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,150972,,,,150972,,35832833,,,0
