Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,149133,,,,329462,,129027,,,2
H5,2019,2019,2019,6,1,2,Export,52,Barbados,BRB,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2517,,,,31144,,14675,,,0
H5,2019,2019,2019,6,1,2,Export,52,Barbados,BRB,659,Saint Kitts and Nevis,KNA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1030,,,,10064,,4870,,,0
H5,2019,2019,2019,6,1,2,Export,52,Barbados,BRB,670,Saint Vincent and the Grenadines,VCT,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1487,,,,21080,,9805,,,0
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,780,Trinidad and Tobago,TTO,,,,,,,,280440,Oxygen,12,Volume in cubic meters,99596,,,,289739,,87774,,,2
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,49536,,,,39723,,41253,,,2
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,7339,,,,7339,,1116016,,,0
H5,2019,2019,2019,6,1,2,Export,52,Barbados,BRB,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2465,,,,2465,,453935,,,6
H5,2019,2019,2019,6,1,2,Export,52,Barbados,BRB,28,Antigua and Barbuda,ATG,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,711,,,,711,,112189,,,0
H5,2019,2019,2019,6,1,2,Export,52,Barbados,BRB,44,Bahamas,BHS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,119,,,,119,,50650,,,0
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1767,,,,1767,,208914,,,0
H5,2019,2019,2019,6,1,2,Export,52,Barbados,BRB,92,Br. Virgin Isds,VGB,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,46,,,,46,,26044,,,0
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,337,,,,337,,68788,,,0
H5,2019,2019,2019,6,1,2,Export,52,Barbados,BRB,136,Cayman Isds,CYM,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,94,,,,94,,39462,,,0
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,54,,,,54,,2182,,,0
H5,2019,2019,2019,6,1,2,Export,52,Barbados,BRB,212,Dominica,DMA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,437,,,,437,,34765,,,0
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,598,,,,598,,163532,,,0
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,16,,,,16,,418,,,0
H5,2019,2019,2019,6,1,2,Export,52,Barbados,BRB,308,Grenada,GRD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,149,,,,149,,51853,,,0
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,360,Indonesia,IDN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,15,,,,15,,2163,,,0
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,372,Ireland,IRL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,93,,,,93,,8978,,,0
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,381,Italy,ITA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1521,,,,1521,,201909,,,0
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,340,,,,340,,59819,,,0
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,34,,,,34,,9836,,,0
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,591,Panama,PAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,40,,,,40,,2875,,,0
H5,2019,2019,2019,6,1,2,Export,52,Barbados,BRB,659,Saint Kitts and Nevis,KNA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,114,,,,114,,20531,,,0
H5,2019,2019,2019,6,1,2,Export,52,Barbados,BRB,660,Anguilla,AIA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,25,,,,25,,3604,,,0
H5,2019,2019,2019,6,1,2,Export,52,Barbados,BRB,662,Saint Lucia,LCA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,546,,,,546,,79808,,,0
H5,2019,2019,2019,6,1,2,Export,52,Barbados,BRB,670,Saint Vincent and the Grenadines,VCT,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,202,,,,202,,32005,,,6
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,436,,,,436,,94355,,,0
H5,2019,2019,2019,6,1,1,Import,52,Barbados,BRB,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,454,,,,454,,19893,,,0
