Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,6883611,,841100,,,2
H5,2017,2017,2017,6,1,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,125923,,106200,,,2
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,381,Italy,ITA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,111,,1100,,,2
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,440,Lithuania,LTU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,189458,,,,253040,,44700,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,643,Russian Federation,RUS,,,,,,,,280440,Oxygen,12,Volume in cubic meters,113013,,,,3103060,,457100,,,0
H5,2017,2017,2017,6,1,2,Export,112,Belarus,BLR,643,Russian Federation,RUS,,,,,,,,280440,Oxygen,12,Volume in cubic meters,93846,,,,125921,,105700,,,0
H5,2017,2017,2017,6,1,2,Export,112,Belarus,BLR,729,Sudan,SDN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,2,,500,,,2
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,804,Ukraine,UKR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,106855,,,,3527400,,338200,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,45870,,,,45870,,14481500,,,0
H5,2017,2017,2017,6,1,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,390,,,,390,,46900,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2335,,,,2335,,1624800,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,156,China,CHN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,56,,,,56,,74600,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,192,Cuba,CUB,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,123,,,,123,,27800,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,14608,,,,14608,,6191500,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,372,Ireland,IRL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,20,,,,20,,41900,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4046,,,,4046,,673800,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,35,,,,35,,279600,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,643,Russian Federation,RUS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,24644,,,,24644,,5557300,,,0
H5,2017,2017,2017,6,1,2,Export,112,Belarus,BLR,643,Russian Federation,RUS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,390,,,,390,,46900,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3,,,,3,,10200,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5214256,,,,5214256,,17204400,,,6
H5,2017,2017,2017,6,1,2,Export,112,Belarus,BLR,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1379956,,,,1379956,,3242500,,,0
H5,2017,2017,2017,6,1,2,Export,112,Belarus,BLR,51,Armenia,ARM,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,8,,,,8,,100,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,912435,,,,912435,,2289200,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,124,Canada,CAN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,15,,,,15,,800,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,156,China,CHN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,351985,,,,351985,,488100,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,203,Czechia,CZE,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,25731,,,,25731,,61000,,,0
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,208,Denmark,DNK,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,107757,,,,107757,,130500,,,0
