Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,1996,1996,1996,6,1,1,Import,58,Belgium-Luxembourg,BEL,0,World,WLD,,,,,,,,280440,Oxygen,8,Weight in kilograms,367349376,,,,367349376,,16300517,,,0
H1,1996,1996,1996,6,1,2,Export,58,Belgium-Luxembourg,BEL,0,World,WLD,,,,,,,,280440,Oxygen,8,Weight in kilograms,428510336,,,,428510336,,18756768,,,0
H1,1996,1996,1996,6,1,2,Export,58,Belgium-Luxembourg,BEL,36,Australia,AUS,,,,,,,,280440,Oxygen,8,Weight in kilograms,515,,,,515,,3605,,,0
H1,1996,1996,1996,6,1,2,Export,58,Belgium-Luxembourg,BEL,120,Cameroon,CMR,,,,,,,,280440,Oxygen,8,Weight in kilograms,398,,,,398,,2178,,,0
H1,1996,1996,1996,6,1,2,Export,58,Belgium-Luxembourg,BEL,203,Czechia,CZE,,,,,,,,280440,Oxygen,8,Weight in kilograms,40,,,,40,,1631,,,0
H1,1996,1996,1996,6,1,2,Export,58,Belgium-Luxembourg,BEL,208,Denmark,DNK,,,,,,,,280440,Oxygen,8,Weight in kilograms,1375,,,,1375,,12361,,,0
H1,1996,1996,1996,6,1,2,Export,58,Belgium-Luxembourg,BEL,246,Finland,FIN,,,,,,,,280440,Oxygen,8,Weight in kilograms,1562,,,,1562,,1815,,,0
H1,1996,1996,1996,6,1,1,Import,58,Belgium-Luxembourg,BEL,251,France,FRA,,,,,,,,280440,Oxygen,8,Weight in kilograms,94548688,,,,94548688,,4849467,,,0
H1,1996,1996,1996,6,1,2,Export,58,Belgium-Luxembourg,BEL,251,France,FRA,,,,,,,,280440,Oxygen,8,Weight in kilograms,121211752,,,,121211752,,7407615,,,0
H1,1996,1996,1996,6,1,1,Import,58,Belgium-Luxembourg,BEL,276,Germany,DEU,,,,,,,,280440,Oxygen,8,Weight in kilograms,2798562,,,,2798562,,296956,,,0
