Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,910418,,,,900306,,142932,,,2
H5,2018,2018,2018,6,1,2,Export,84,Belize,BLZ,0,World,WLD,,,,,,,,280440,Oxygen,8,Weight in kilograms,176,,,,176,,1690,,,0
H5,2018,2018,2018,6,1,3,Re-Export,84,Belize,BLZ,0,World,WLD,,,,,,,,280440,Oxygen,8,Weight in kilograms,176,,,,176,,1690,,,0
H5,2018,2018,2018,6,1,1,Import,84,Belize,BLZ,320,Guatemala,GTM,,,,,,,,280440,Oxygen,12,Volume in cubic meters,892989,,,,900014,,140196,,,2
H5,2018,2018,2018,6,1,1,Import,84,Belize,BLZ,484,Mexico,MEX,,,,,,,,280440,Oxygen,12,Volume in cubic meters,3778,,,,20,,593,,,2
H5,2018,2018,2018,6,1,1,Import,84,Belize,BLZ,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,13650,,,,272,,2143,,,2
H5,2018,2018,2018,6,1,2,Export,84,Belize,BLZ,842,USA,USA,,,,,,,,280440,Oxygen,8,Weight in kilograms,176,,,,176,,1690,,,0
H5,2018,2018,2018,6,1,3,Re-Export,84,Belize,BLZ,842,USA,USA,,,,,,,,280440,Oxygen,8,Weight in kilograms,176,,,,176,,1690,,,0
H5,2018,2018,2018,6,1,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2444,,,,2444,,179101,,,0
H5,2018,2018,2018,6,1,1,Import,84,Belize,BLZ,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,166,,,,166,,10820,,,0
H5,2018,2018,2018,6,1,1,Import,84,Belize,BLZ,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,307,,,,307,,54345,,,0
H5,2018,2018,2018,6,1,1,Import,84,Belize,BLZ,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,83,,,,83,,9437,,,0
H5,2018,2018,2018,6,1,1,Import,84,Belize,BLZ,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1856,,,,1856,,86337,,,0
