Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,1,Import,204,Benin,BEN,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1495773,,,,375063,,220957,,,6
H5,2019,2019,2019,6,1,2,Export,204,Benin,BEN,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,690884,,,,53509,,106688,,,2
H5,2019,2019,2019,6,1,1,Import,204,Benin,BEN,251,France,FRA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2725,,,,683,,402,,,6
H5,2019,2019,2019,6,1,1,Import,204,Benin,BEN,384,Côte d'Ivoire,CIV,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1370182,,,,344980,,202404,,,2
H5,2019,2019,2019,6,1,1,Import,204,Benin,BEN,566,Nigeria,NGA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,122864,,,,29400,,18149,,,2
H5,2019,2019,2019,6,1,2,Export,204,Benin,BEN,768,Togo,TGO,,,,,,,,280440,Oxygen,12,Volume in cubic meters,690884,,,,53509,,106688,,,2
H5,2019,2019,2019,6,1,1,Import,204,Benin,BEN,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,21965,,,,21965,,3169817,,,0
H5,2019,2019,2019,6,1,1,Import,204,Benin,BEN,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,15,,,,15,,1218,,,0
H5,2019,2019,2019,6,1,1,Import,204,Benin,BEN,100,Bulgaria,BGR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4,,,,4,,1370,,,0
H5,2019,2019,2019,6,1,1,Import,204,Benin,BEN,156,China,CHN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,118,,,,118,,5124,,,0
H5,2019,2019,2019,6,1,1,Import,204,Benin,BEN,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,305,,,,305,,154617,,,0
H5,2019,2019,2019,6,1,1,Import,204,Benin,BEN,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,8266,,,,8266,,1070672,,,0
H5,2019,2019,2019,6,1,1,Import,204,Benin,BEN,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,17,,,,17,,4591,,,0
H5,2019,2019,2019,6,1,1,Import,204,Benin,BEN,384,Côte d'Ivoire,CIV,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,106,,,,106,,26652,,,0
H5,2019,2019,2019,6,1,1,Import,204,Benin,BEN,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1073,,,,1073,,201615,,,0
