Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,956,,,,,,14554,,,4
H5,2017,2017,2017,6,1,1,Import,60,Bermuda,BMU,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,956,,,,,,14554,,,4
H5,2017,2017,2017,6,1,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2679,,,,2679,,521031,,,0
H5,2017,2017,2017,6,1,1,Import,60,Bermuda,BMU,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,168,,,,168,,24700,,,0
H5,2017,2017,2017,6,1,1,Import,60,Bermuda,BMU,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,172,,,,172,,45860,,,0
H5,2017,2017,2017,6,1,1,Import,60,Bermuda,BMU,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,554,,,,554,,80220,,,0
H5,2017,2017,2017,6,1,1,Import,60,Bermuda,BMU,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,186,,,,186,,33332,,,0
H5,2017,2017,2017,6,1,1,Import,60,Bermuda,BMU,381,Italy,ITA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,18,,,,18,,6090,,,0
H5,2017,2017,2017,6,1,1,Import,60,Bermuda,BMU,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,23,,,,23,,1100,,,0
H5,2017,2017,2017,6,1,1,Import,60,Bermuda,BMU,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,131,,,,131,,985,,,0
