Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,504258,,,,1083276,,233725,,,4
H4,2012,2012,2012,6,1,2,Export,64,Bhutan,BTN,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,280334,,,,,,30139,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,699,India,IND,,,,,,,,280440,Oxygen,12,Volume in cubic meters,504257,,,,1082945,,233654,,,4
H4,2012,2012,2012,6,1,2,Export,64,Bhutan,BTN,699,India,IND,,,,,,,,280440,Oxygen,12,Volume in cubic meters,280334,,,,,,30139,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,764,Thailand,THA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1,,,,331,,71,,,4
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,17886,,,,17886,,504856,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,688,,,,688,,221513,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,360,Indonesia,IDN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,94,,,,94,,8200,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,10,,,,10,,5919,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,17094,,,,17094,,269224,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2221,,,,2221,,14296,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,276,Germany,DEU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,279,,,,279,,3527,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,699,India,IND,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1737,,,,1737,,2971,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,826,United Kingdom,GBR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,205,,,,205,,7797,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,0,World,WLD,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,1159,,,,1159,,28894,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,699,India,IND,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,1159,,,,1159,,28894,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,0,World,WLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,28472,,,,28472,,607230,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,156,China,CHN,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,6,,,,6,,1749,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,208,Denmark,DNK,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,185,,,,185,,7935,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,251,France,FRA,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,7,,,,7,,1020,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,276,Germany,DEU,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,369,,,,369,,25290,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,344,"China, Hong Kong SAR",HKG,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,13,,,,13,,4140,,,0
H4,2012,2012,2012,6,1,1,Import,64,Bhutan,BTN,458,Malaysia,MYS,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,32,,,,32,,3331,,,0
