Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,937325,,237749,,,2
H5,2017,2017,2017,6,1,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,40,,655,,,2
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,76,Brazil,BRA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,207,,4174,,,2
H5,2017,2017,2017,6,1,2,Export,68,Bolivia (Plurinational State of),BOL,218,Ecuador,ECU,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,40,,655,,,2
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,604,Peru,PER,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,937079,,230058,,,2
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,38,,3516,,,2
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,96820,,,,96780,,16759805,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,32,Argentina,ARG,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1261,,,,675,,94158,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,36,Australia,AUS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,124,,,,124,,24590,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,28896,,,,28896,,3730557,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,76,Brazil,BRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,176,,,,176,,29730,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,100,Bulgaria,BGR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2562,,,,2556,,174865,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1059,,,,1594,,147863,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,192,Cuba,CUB,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3,,,,2,,208,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,11612,,,,11621,,3016039,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,372,Ireland,IRL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,52,,,,52,,86205,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,699,,,,701,,298161,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2951,,,,2951,,541916,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,36636,,,,36636,,3033901,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,724,Spain,ESP,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,265,,,,265,,37458,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,757,Switzerland,CHE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,154,,,,158,,76507,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,10370,,,,10370,,5467640,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,9865415,,,,9899677,,7634380,,,0
H5,2017,2017,2017,6,1,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2839,,,,2839,,11525,,,0
H5,2017,2017,2017,6,1,3,Re-Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2839,,,,2839,,11525,,,0
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,32,Argentina,ARG,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,9185131,,,,9215567,,5538480,,,0
