Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,2475356,,407247,,,2
H5,2017,2017,2017,6,1,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,486180,,35006,,,2
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,100,Bulgaria,BGR,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,49,,2012,,,2
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,191,Croatia,HRV,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,1797760,,264620,,,2
H5,2017,2017,2017,6,1,2,Export,70,Bosnia Herzegovina,BIH,191,Croatia,HRV,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,232760,,17564,,,2
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,348,Hungary,HUN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,1383,,4787,,,2
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,381,Italy,ITA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,147,,2171,,,2
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,688,Serbia,SRB,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,83968,,18944,,,2
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,705,Slovenia,SVN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,592038,,113992,,,2
H5,2017,2017,2017,6,1,2,Export,70,Bosnia Herzegovina,BIH,705,Slovenia,SVN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,253420,,17442,,,2
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,826,United Kingdom,GBR,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,8,,553,,,2
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,2,,166,,,2
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,7965,,,,7965,,3093619,,,0
H5,2017,2017,2017,6,1,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,13,,,,13,,24383,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1568,,,,1568,,377462,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4822,,,,4822,,2217109,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,576,,,,576,,59942,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,0,,,,0,,288,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,688,Serbia,SRB,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,995,,,,995,,436195,,,0
H5,2017,2017,2017,6,1,2,Export,70,Bosnia Herzegovina,BIH,688,Serbia,SRB,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,13,,,,13,,24383,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,,,1,,2619,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,616702,,,,616702,,1722944,,,0
H5,2017,2017,2017,6,1,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2367,,,,2367,,9971,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,40,Austria,AUT,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,46946,,,,46946,,192887,,,0
H5,2017,2017,2017,6,1,2,Export,70,Bosnia Herzegovina,BIH,40,Austria,AUT,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,74,,,,74,,915,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5958,,,,5958,,17544,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,156,China,CHN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,9360,,,,9360,,16512,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,191,Croatia,HRV,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,69152,,,,69152,,149783,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,203,Czechia,CZE,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,318,,,,318,,2777,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,208,Denmark,DNK,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,990,,,,990,,1070,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,251,France,FRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2647,,,,2647,,12526,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,276,Germany,DEU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,128066,,,,128066,,554161,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,348,Hungary,HUN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,388,,,,388,,303,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,381,Italy,ITA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,32085,,,,32085,,133958,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,470,Malta,MLT,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2,,,,2,,146,,,0
H5,2017,2017,2017,6,1,2,Export,70,Bosnia Herzegovina,BIH,499,Montenegro,MNE,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5,,,,5,,16,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,528,Netherlands,NLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,153087,,,,153087,,277125,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,616,Poland,POL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,224,,,,224,,826,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,688,Serbia,SRB,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,56295,,,,56295,,108336,,,0
H5,2017,2017,2017,6,1,2,Export,70,Bosnia Herzegovina,BIH,688,Serbia,SRB,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,17,,,,17,,999,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,702,Singapore,SGP,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,4,,,,4,,238,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,705,Slovenia,SVN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,71278,,,,71278,,156548,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,724,Spain,ESP,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,31047,,,,31047,,50640,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,757,Switzerland,CHE,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,4286,,,,4286,,30201,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,792,Turkey,TUR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,4047,,,,4047,,13586,,,0
H5,2017,2017,2017,6,1,2,Export,70,Bosnia Herzegovina,BIH,792,Turkey,TUR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2270,,,,2270,,8039,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,826,United Kingdom,GBR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,446,,,,446,,3037,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,842,USA,USA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,71,,,,71,,731,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,14396,,,,14396,,467411,,,0
H5,2017,2017,2017,6,1,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,0,,,,0,,14,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,191,Croatia,HRV,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,975,,,,975,,20971,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,208,Denmark,DNK,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,343,,,,343,,12835,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,233,Estonia,EST,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,647,,,,647,,9608,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,246,Finland,FIN,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,11,,,,11,,68,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,251,France,FRA,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,4892,,,,4892,,57529,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,276,Germany,DEU,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,1135,,,,1135,,60467,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,348,Hungary,HUN,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,300,,,,300,,12726,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,381,Italy,ITA,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,1266,,,,1266,,80749,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,392,Japan,JPN,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,40,,,,40,,8755,,,0
