Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,577988,,,6
H5,2018,2018,2018,6,1,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,160,,,,2450,,1204,,,0
H5,2018,2018,2018,6,1,2,Export,72,Botswana,BWA,516,Namibia,NAM,,,,,,,,280440,Oxygen,12,Volume in cubic meters,160,,,,2450,,1204,,,0
H5,2018,2018,2018,6,1,1,Import,72,Botswana,BWA,710,South Africa,ZAF,,,,,,,,280440,Oxygen,12,Volume in cubic meters,869950,,,,3089808,,561504,,,0
H5,2018,2018,2018,6,1,1,Import,72,Botswana,BWA,724,Spain,ESP,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,16484,,,6
H5,2018,2018,2018,6,1,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,23800,,,,10470,,4502441,,,6
H5,2018,2018,2018,6,1,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,18,,,,1,,154,,,0
H5,2018,2018,2018,6,1,1,Import,72,Botswana,BWA,50,Bangladesh,BGD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,12,,,,1,,29,,,0
H5,2018,2018,2018,6,1,1,Import,72,Botswana,BWA,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,,,0,,110,,,6
H5,2018,2018,2018,6,1,2,Export,72,Botswana,BWA,222,El Salvador,SLV,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,10,,,,0,,88,,,0
