Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,634730,,,6
H5,2017,2017,2017,6,1,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,24750,,,,93674,,12374,,,4
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,458,Malaysia,MYS,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1453280,,,,,,450684,,,4
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,608,Philippines,PHL,,,,,,,,280440,Oxygen,12,Volume in cubic meters,30805,,,,,,6013,,,4
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,702,Singapore,SGP,,,,,,,,280440,Oxygen,12,Volume in cubic meters,143495,,,,,,164598,,,6
H5,2017,2017,2017,6,1,2,Export,96,Brunei Darussalam,BRN,702,Singapore,SGP,,,,,,,,280440,Oxygen,12,Volume in cubic meters,24750,,,,93674,,12374,,,4
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,826,United Kingdom,GBR,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,13433,,,6
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,27890,,,,27890,,681795,,,6
H5,2017,2017,2017,6,1,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,30,,,,30,,29438,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,392,Japan,JPN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,50,,,,50,,2558,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,458,Malaysia,MYS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,23509,,,,23509,,520291,,,6
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2600,,,,2600,,59237,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,702,Singapore,SGP,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1687,,,,1687,,26896,,,6
H5,2017,2017,2017,6,1,2,Export,96,Brunei Darussalam,BRN,702,Singapore,SGP,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,30,,,,30,,29438,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,44,,,,44,,72811,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,19325,,,,19325,,177854,,,6
H5,2017,2017,2017,6,1,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,680,,,,680,,27513,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,36,Australia,AUS,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,38,,,,38,,1036,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,156,China,CHN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,4,,,,4,,68,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,251,France,FRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,109,,,,109,,2878,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,276,Germany,DEU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,352,,,,352,,10390,,,0
H5,2017,2017,2017,6,1,2,Export,96,Brunei Darussalam,BRN,392,Japan,JPN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2,,,,2,,1190,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,458,Malaysia,MYS,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,905,,,,905,,10996,,,0
H5,2017,2017,2017,6,1,2,Export,96,Brunei Darussalam,BRN,490,"Other Asia, nes",,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,26,,,,26,,1190,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,528,Netherlands,NLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,531,,,,531,,4281,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,699,India,IND,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5406,,,,5406,,56375,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,702,Singapore,SGP,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,6499,,,,6499,,20166,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,757,Switzerland,CHE,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2882,,,,2882,,19164,,,0
H5,2017,2017,2017,6,1,2,Export,96,Brunei Darussalam,BRN,764,Thailand,THA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,652,,,,652,,25132,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,826,United Kingdom,GBR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,6,,,,6,,85,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,842,USA,USA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2593,,,,2593,,52410,,,6
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,107171,,,,107171,,162383,,,6
H5,2017,2017,2017,6,1,2,Export,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,1,,,,1,,18,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,156,China,CHN,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,2015,,,,2015,,30103,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,276,Germany,DEU,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,27,,,,27,,359,,,6
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,344,"China, Hong Kong SAR",HKG,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,3,,,,3,,515,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,458,Malaysia,MYS,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,104703,,,,104703,,104018,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,702,Singapore,SGP,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,249,,,,249,,7192,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,826,United Kingdom,GBR,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,89,,,,89,,135,,,6
