Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,4195660,,,,5631854,,430434,,,0
H5,2017,2017,2017,6,1,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,10078096,,,,13556181,,1278351,,,2
H5,2017,2017,2017,6,1,2,Export,100,Bulgaria,BGR,8,Albania,ALB,,,,,,,,280440,Oxygen,12,Volume in cubic meters,100578,,,,115540,,21858,,,2
H5,2017,2017,2017,6,1,1,Import,100,Bulgaria,BGR,40,Austria,AUT,,,,,,,,280440,Oxygen,12,Volume in cubic meters,768,,,,1026,,2148,,,0
H5,2017,2017,2017,6,1,2,Export,100,Bulgaria,BGR,70,Bosnia Herzegovina,BIH,,,,,,,,280440,Oxygen,12,Volume in cubic meters,15,,,,20,,282,,,0
H5,2017,2017,2017,6,1,1,Import,100,Bulgaria,BGR,251,France,FRA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,129,,,,184,,872,,,0
H5,2017,2017,2017,6,1,1,Import,100,Bulgaria,BGR,300,Greece,GRC,,,,,,,,280440,Oxygen,12,Volume in cubic meters,29583,,,,39912,,43578,,,0
H5,2017,2017,2017,6,1,2,Export,100,Bulgaria,BGR,300,Greece,GRC,,,,,,,,280440,Oxygen,12,Volume in cubic meters,9463417,,,,12757086,,1179966,,,0
H5,2017,2017,2017,6,1,1,Import,100,Bulgaria,BGR,348,Hungary,HUN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2652,,,,3544,,5943,,,0
H5,2017,2017,2017,6,1,1,Import,100,Bulgaria,BGR,381,Italy,ITA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,591,,,,801,,1338,,,0
H5,2017,2017,2017,6,1,1,Import,100,Bulgaria,BGR,642,Romania,ROU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2531967,,,,3407074,,202638,,,0
H5,2017,2017,2017,6,1,2,Export,100,Bulgaria,BGR,642,Romania,ROU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,507219,,,,674535,,73189,,,0
H5,2017,2017,2017,6,1,1,Import,100,Bulgaria,BGR,688,Serbia,SRB,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1629799,,,,2179020,,172341,,,0
H5,2017,2017,2017,6,1,2,Export,100,Bulgaria,BGR,688,Serbia,SRB,,,,,,,,280440,Oxygen,12,Volume in cubic meters,6867,,,,9000,,3054,,,0
H5,2017,2017,2017,6,1,1,Import,100,Bulgaria,BGR,724,Spain,ESP,,,,,,,,280440,Oxygen,12,Volume in cubic meters,171,,,,293,,1572,,,0
H5,2017,2017,2017,6,1,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,28985,,,,28985,,21426920,,,0
H5,2017,2017,2017,6,1,2,Export,100,Bulgaria,BGR,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,92695,,,,92695,,18841344,,,6
H5,2017,2017,2017,6,1,2,Export,100,Bulgaria,BGR,4,Afghanistan,AFG,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2786,,,,2786,,105000,,,0
H5,2017,2017,2017,6,1,2,Export,100,Bulgaria,BGR,8,Albania,ALB,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,480,,,,480,,44811,,,0
H5,2017,2017,2017,6,1,2,Export,100,Bulgaria,BGR,12,Algeria,DZA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,401,,,,401,,161231,,,0
H5,2017,2017,2017,6,1,2,Export,100,Bulgaria,BGR,31,Azerbaijan,AZE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,413,,,,413,,19807,,,0
H5,2017,2017,2017,6,1,2,Export,100,Bulgaria,BGR,32,Argentina,ARG,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1498,,,,1498,,156910,,,0
H5,2017,2017,2017,6,1,2,Export,100,Bulgaria,BGR,40,Austria,AUT,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2,,,,2,,4526,,,0
H5,2017,2017,2017,6,1,2,Export,100,Bulgaria,BGR,50,Bangladesh,BGD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1541,,,,1541,,184941,,,0
