Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,33468,,,,33468,,12489260,,,0
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3739,,,,3739,,828239,,,0
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,787,,,,787,,67908,,,0
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,156,China,CHN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,61,,,,61,,6371,,,0
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,15218,,,,15218,,9112800,,,0
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,404,Kenya,KEN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,296,,,,296,,48140,,,0
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,37,,,,37,,11934,,,0
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,12445,,,,12445,,2358607,,,0
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,702,Singapore,SGP,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,739,,,,739,,40825,,,0
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,800,Uganda,UGA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,32,,,,32,,1884,,,0
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,114,,,,114,,12547,,,0
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,90494,,,,90494,,268254,,,0
H5,2019,2019,2019,6,1,2,Export,108,Burundi,BDI,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,4360,,,,4360,,2046,,,0
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1602,,,,1602,,41550,,,0
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,208,Denmark,DNK,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,4588,,,,4588,,29593,,,0
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,251,France,FRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,20,,,,20,,101,,,0
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,404,Kenya,KEN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,31413,,,,31413,,89474,,,0
H5,2019,2019,2019,6,1,1,Import,108,Burundi,BDI,528,Netherlands,NLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,61,,,,61,,1608,,,0
