Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,1,Import,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,75919,,78268,,,2
H5,2019,2019,2019,6,1,1,Import,132,Cabo Verde,CPV,56,Belgium,BEL,,,,,,,,280440,Oxygen,12,Volume in cubic meters,6,,,,150,,665,,,0
H5,2019,2019,2019,6,1,1,Import,132,Cabo Verde,CPV,156,China,CHN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,5,,,,2,,89,,,0
H5,2019,2019,2019,6,1,1,Import,132,Cabo Verde,CPV,251,France,FRA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,3,,,,3,,85,,,0
H5,2019,2019,2019,6,1,1,Import,132,Cabo Verde,CPV,528,Netherlands,NLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2,,,,7,,60,,,0
H5,2019,2019,2019,6,1,1,Import,132,Cabo Verde,CPV,620,Portugal,PRT,,,,,,,,280440,Oxygen,12,Volume in cubic meters,37,,,,541,,1026,,,0
H5,2019,2019,2019,6,1,1,Import,132,Cabo Verde,CPV,724,Spain,ESP,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,75216,,76340,,,2
H5,2019,2019,2019,6,1,1,Import,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,652,,,,652,,239657,,,0
H5,2019,2019,2019,6,1,1,Import,132,Cabo Verde,CPV,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,339,,,,339,,94366,,,0
H5,2019,2019,2019,6,1,1,Import,132,Cabo Verde,CPV,620,Portugal,PRT,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,284,,,,284,,131654,,,0
H5,2019,2019,2019,6,1,1,Import,132,Cabo Verde,CPV,643,Russian Federation,RUS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,29,,,,29,,13635,,,0
H5,2019,2019,2019,6,1,1,Import,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,163436,,,,163436,,360684,,,0
H5,2019,2019,2019,6,1,1,Import,132,Cabo Verde,CPV,40,Austria,AUT,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,600,,,,600,,182,,,0
H5,2019,2019,2019,6,1,1,Import,132,Cabo Verde,CPV,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,33,,,,33,,411,,,0
