Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,3880018,,484501,,,6
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,156,China,CHN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,230313,,28759,,,6
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,490,"Other Asia, nes",,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,181456,,22658,,,6
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,704,Viet Nam,VNM,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,134929,,16848,,,6
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,764,Thailand,THA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,3333319,,416235,,,6
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,16451,,,,,,11281249,,,6
H5,2017,2017,2017,6,1,2,Export,116,Cambodia,KHM,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,18,,,,,,12521,,,6
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4842,,,,,,3320446,,,6
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,100,Bulgaria,BGR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,117,,,,,,80849,,,6
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,21,,,,,,14635,,,6
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,156,China,CHN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,257,,,,,,176369,,,6
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,192,Cuba,CUB,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,15,,,,,,10767,,,6
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1446,,,,,,991969,,,6
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,8,,,,,,6001,,,6
H5,2017,2017,2017,6,1,2,Export,116,Cambodia,KHM,344,"China, Hong Kong SAR",HKG,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,18,,,,,,12521,,,6
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,360,Indonesia,IDN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,116,,,,,,80027,,,6
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1301,,,,,,892589,,,6
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,829,,,,,,568793,,,6
H5,2017,2017,2017,6,1,1,Import,116,Cambodia,KHM,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,5893,,,,,,4041691,,,6
