Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,28,,1432,,,0
H4,2013,2013,2013,6,1,2,Export,120,Cameroon,CMR,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,158225,,177608,,,0
H4,2013,2013,2013,6,1,2,Export,120,Cameroon,CMR,148,Chad,TCD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,61390,,136667,,,0
H4,2013,2013,2013,6,1,2,Export,120,Cameroon,CMR,178,Congo,COG,,,,,,,,280440,Oxygen,1,No Quantity,,,,,73790,,25711,,,0
H4,2013,2013,2013,6,1,2,Export,120,Cameroon,CMR,226,Equatorial Guinea,GNQ,,,,,,,,280440,Oxygen,1,No Quantity,,,,,23045,,15230,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,251,France,FRA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,27,,1351,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,826,United Kingdom,GBR,,,,,,,,280440,Oxygen,1,No Quantity,,,,,1,,81,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,29455,,,,29455,,2751212,,,0
H4,2013,2013,2013,6,1,2,Export,120,Cameroon,CMR,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2000,,,,2000,,32944,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,682,,,,682,,18991,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,76,Brazil,BRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4700,,,,4700,,177308,,,0
H4,2013,2013,2013,6,1,2,Export,120,Cameroon,CMR,148,Chad,TCD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2000,,,,2000,,32944,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,8501,,,,8501,,400292,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4177,,,,4177,,1167969,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,181,,,,181,,50114,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,686,Senegal,SEN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,105,,,,105,,18185,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,10973,,,,10973,,885582,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,136,,,,136,,32771,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,354897,,,,354897,,1510704,,,0
H4,2013,2013,2013,6,1,2,Export,120,Cameroon,CMR,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5002,,,,5002,,7404,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,67142,,,,67142,,300881,,,0
H4,2013,2013,2013,6,1,2,Export,120,Cameroon,CMR,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2,,,,2,,6,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,76,Brazil,BRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,36,,,,36,,5541,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,156,China,CHN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,737,,,,737,,2494,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,251,France,FRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,37988,,,,37988,,211229,,,0
H4,2013,2013,2013,6,1,2,Export,120,Cameroon,CMR,266,Gabon,GAB,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5000,,,,5000,,7397,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,276,Germany,DEU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,12842,,,,12842,,108765,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,288,Ghana,GHA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,250,,,,250,,709,,,0
H4,2013,2013,2013,6,1,1,Import,120,Cameroon,CMR,381,Italy,ITA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,8979,,,,8979,,57075,,,0
