Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,958,,2024,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,120,Cameroon,CMR,,,,,,,,280440,Oxygen,1,No Quantity,,,,,958,,2024,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,45605,,,,45605,,7590252,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,5089,,,,5089,,882221,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,355,,,,355,,21207,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,374,,,,374,,80876,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,10905,,,,10905,,1356108,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,360,Indonesia,IDN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,423,,,,423,,70817,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,392,Japan,JPN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,140,,,,140,,33034,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,458,Malaysia,MYS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4922,,,,4922,,190379,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,16,,,,16,,2061,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,643,Russian Federation,RUS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,530,,,,530,,123266,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,686,Senegal,SEN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,71,,,,71,,24107,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,21098,,,,21098,,4656573,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,757,Switzerland,CHE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1282,,,,1282,,69289,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,400,,,,400,,80314,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5706,,,,5706,,32834,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5320,,,,5320,,21438,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,251,France,FRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,45,,,,45,,5831,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,826,United Kingdom,GBR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,341,,,,341,,5565,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,0,World,WLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,82133,,,,82133,,2324661,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,36,Australia,AUS,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,83,,,,83,,32604,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,56,Belgium,BEL,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,8698,,,,8698,,136564,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,208,Denmark,DNK,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,125,,,,125,,31372,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,251,France,FRA,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,66011,,,,66011,,1774976,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,276,Germany,DEU,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,862,,,,862,,39274,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,381,Italy,ITA,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,4,,,,4,,1734,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,392,Japan,JPN,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,332,,,,332,,83747,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,410,Rep. of Korea,KOR,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,568,,,,568,,51202,,,0
H4,2016,2016,2016,6,1,1,Import,140,Central African Rep.,CAF,458,Malaysia,MYS,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,159,,,,159,,21261,,,0
