Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,0,World,WLD,,,,,,,,280440,Oxygen,8,Weight in kilograms,7877,,,,7877,,69446,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,120,Cameroon,CMR,,,,,,,,280440,Oxygen,8,Weight in kilograms,5625,,,,5625,,53229,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,140,Central African Rep.,CAF,,,,,,,,280440,Oxygen,8,Weight in kilograms,1562,,,,1562,,8740,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,251,France,FRA,,,,,,,,280440,Oxygen,8,Weight in kilograms,656,,,,656,,6002,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,842,USA,USA,,,,,,,,280440,Oxygen,8,Weight in kilograms,25,,,,25,,1239,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,899,"Areas, nes",,,,,,,,,280440,Oxygen,8,Weight in kilograms,9,,,,9,,236,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,0,World,WLD,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,5250,,,,5250,,269548,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,58,Belgium-Luxembourg,BEL,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,429,,,,429,,32675,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,251,France,FRA,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,1991,,,,1991,,119650,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,276,Germany,DEU,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,469,,,,469,,25309,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,528,Netherlands,NLD,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,326,,,,326,,15902,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,686,Senegal,SEN,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,349,,,,349,,24830,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,699,India,IND,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,377,,,,377,,5656,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,724,Spain,ESP,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,245,,,,245,,15431,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,757,Switzerland,CHE,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,826,,,,826,,20616,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,842,USA,USA,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,203,,,,203,,4666,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,899,"Areas, nes",,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,35,,,,35,,4813,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,0,World,WLD,,,,,,,,382100,Prepared culture media for developing micro-organisms,8,Weight in kilograms,347,,,,347,,8343,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,251,France,FRA,,,,,,,,382100,Prepared culture media for developing micro-organisms,8,Weight in kilograms,347,,,,347,,8343,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,0,World,WLD,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,1324,,,,1324,,101492,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,251,France,FRA,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,1187,,,,1187,,92806,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,344,"China, Hong Kong SAR",HKG,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,25,,,,25,,6364,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,484,Mexico,MEX,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,8,,,,8,,859,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,528,Netherlands,NLD,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,101,,,,101,,962,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,899,"Areas, nes",,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,3,,,,3,,501,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,0,World,WLD,,,,,,,,401511,Rubber surgical gloves,8,Weight in kilograms,4089,,,,4089,,36887,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,58,Belgium-Luxembourg,BEL,,,,,,,,401511,Rubber surgical gloves,8,Weight in kilograms,54,,,,54,,2500,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,251,France,FRA,,,,,,,,401511,Rubber surgical gloves,8,Weight in kilograms,3437,,,,3437,,24921,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,724,Spain,ESP,,,,,,,,401511,Rubber surgical gloves,8,Weight in kilograms,597,,,,597,,9410,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,899,"Areas, nes",,,,,,,,,401511,Rubber surgical gloves,8,Weight in kilograms,1,,,,1,,56,,,0
H0,1995,1995,1995,6,1,1,Import,148,Chad,TCD,0,World,WLD,,,,,,,,481850,"Clothing and accessories nes, of paper",8,Weight in kilograms,7,,,,7,,174,,,0
