Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,17449,,,,1353632,,169029,,,6
H5,2017,2017,2017,6,1,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,15283,,,,100815,,16035,,,4
H5,2017,2017,2017,6,1,1,Import,152,Chile,CHL,32,Argentina,ARG,,,,,,,,280440,Oxygen,12,Volume in cubic meters,63,,,,30571,,3817,,,4
H5,2017,2017,2017,6,1,2,Export,152,Chile,CHL,32,Argentina,ARG,,,,,,,,280440,Oxygen,12,Volume in cubic meters,82,,,,49304,,7842,,,4
H5,2017,2017,2017,6,1,1,Import,152,Chile,CHL,56,Belgium,BEL,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2385,,,,66978,,8363,,,4
H5,2017,2017,2017,6,1,1,Import,152,Chile,CHL,76,Brazil,BRA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,360,,,,25569,,3192,,,4
H5,2017,2017,2017,6,1,1,Import,152,Chile,CHL,276,Germany,DEU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1563,,,,192290,,24011,,,4
H5,2017,2017,2017,6,1,2,Export,152,Chile,CHL,604,Peru,PER,,,,,,,,280440,Oxygen,12,Volume in cubic meters,15200,,,,50253,,7993,,,4
H5,2017,2017,2017,6,1,1,Import,152,Chile,CHL,757,Switzerland,CHE,,,,,,,,280440,Oxygen,12,Volume in cubic meters,68,,,,37184,,4643,,,4
H5,2017,2017,2017,6,1,1,Import,152,Chile,CHL,826,United Kingdom,GBR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,108,,,,12142,,1516,,,6
H5,2017,2017,2017,6,1,1,Import,152,Chile,CHL,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,12899,,,,988895,,123484,,,6
H5,2017,2017,2017,6,1,2,Export,152,Chile,CHL,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1,,,,1257,,200,,,4
