Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,74167,,,6
H5,2017,2017,2017,6,1,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1618254,,,,860055,,239164,,,2
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,124,Canada,CAN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,22930,,,,424,,3381,,,2
H5,2017,2017,2017,6,1,2,Export,170,Colombia,COL,214,Dominican Rep.,DOM,,,,,,,,280440,Oxygen,12,Volume in cubic meters,31733,,,,16750,,4690,,,2
H5,2017,2017,2017,6,1,2,Export,170,Colombia,COL,218,Ecuador,ECU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,63513,,,,784,,9386,,,2
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,276,Germany,DEU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,189172,,,,5836,,27893,,,2
H5,2017,2017,2017,6,1,2,Export,170,Colombia,COL,531,Curaçao,CUW,,,,,,,,280440,Oxygen,12,Volume in cubic meters,951513,,,,528080,,140625,,,2
H5,2017,2017,2017,6,1,2,Export,170,Colombia,COL,533,Aruba,ABW,,,,,,,,280440,Oxygen,12,Volume in cubic meters,570944,,,,314400,,84380,,,2
H5,2017,2017,2017,6,1,2,Export,170,Colombia,COL,604,Peru,PER,,,,,,,,280440,Oxygen,12,Volume in cubic meters,142,,,,0,,21,,,2
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,780,Trinidad and Tobago,TTO,,,,,,,,280440,Oxygen,12,Volume in cubic meters,34097,,,,18530,,5027,,,2
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,37864,,,6
H5,2017,2017,2017,6,1,2,Export,170,Colombia,COL,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,405,,,,41,,60,,,2
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,196203,,,,196203,,116818286,,,0
H5,2017,2017,2017,6,1,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,8,,,,8,,7458,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,43100,,,,43100,,48423382,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,76,Brazil,BRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3300,,,,3300,,1274096,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,100,Bulgaria,BGR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,71,,,,71,,104778,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1051,,,,1051,,397750,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,192,Cuba,CUB,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,8121,,,,8121,,1157517,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,21462,,,,21462,,14760091,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1125,,,,1125,,257415,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,372,Ireland,IRL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1961,,,,1961,,891312,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,381,Italy,ITA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3914,,,,3914,,813827,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,12698,,,,12698,,7064600,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1339,,,,1339,,1351598,,,0
H5,2017,2017,2017,6,1,2,Export,170,Colombia,COL,591,Panama,PAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,8,,,,8,,7458,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,64759,,,,64759,,9731731,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,724,Spain,ESP,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,320,,,,320,,75709,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,757,Switzerland,CHE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,182,,,,182,,110118,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,32794,,,,32794,,30404354,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,1,No Quantity,0,,,,,,17454162,,,6
H5,2017,2017,2017,6,1,2,Export,170,Colombia,COL,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5140277,,,,5140277,,5072902,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,32,Argentina,ARG,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,76945,,,,76945,,254731,,,0
H5,2017,2017,2017,6,1,2,Export,170,Colombia,COL,32,Argentina,ARG,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,26804,,,,26804,,75853,,,0
H5,2017,2017,2017,6,1,2,Export,170,Colombia,COL,52,Barbados,BRB,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,0,,,,0,,0,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,168355,,,,168355,,490216,,,0
H5,2017,2017,2017,6,1,2,Export,170,Colombia,COL,68,Bolivia (Plurinational State of),BOL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,55138,,,,55138,,133169,,,0
H5,2017,2017,2017,6,1,1,Import,170,Colombia,COL,76,Brazil,BRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,296214,,,,296214,,897259,,,0
H5,2017,2017,2017,6,1,2,Export,170,Colombia,COL,76,Brazil,BRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,632,,,,632,,13938,,,0
