Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,174,Comoros,COM,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1501,,,,351,,235,,,2
H5,2018,2018,2018,6,1,1,Import,174,Comoros,COM,450,Madagascar,MDG,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1001,,,,225,,157,,,2
H5,2018,2018,2018,6,1,1,Import,174,Comoros,COM,784,United Arab Emirates,ARE,,,,,,,,280440,Oxygen,12,Volume in cubic meters,499,,,,126,,78,,,2
H5,2018,2018,2018,6,1,1,Import,174,Comoros,COM,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,308,,,,308,,120956,,,0
H5,2018,2018,2018,6,1,1,Import,174,Comoros,COM,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,5,,,,5,,4533,,,0
H5,2018,2018,2018,6,1,1,Import,174,Comoros,COM,480,Mauritius,MUS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,132,,,,132,,69314,,,0
H5,2018,2018,2018,6,1,1,Import,174,Comoros,COM,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,171,,,,171,,47108,,,0
H5,2018,2018,2018,6,1,1,Import,174,Comoros,COM,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2078,,,,2078,,5849,,,0
H5,2018,2018,2018,6,1,1,Import,174,Comoros,COM,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1500,,,,1500,,3119,,,0
H5,2018,2018,2018,6,1,1,Import,174,Comoros,COM,251,France,FRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,250,,,,250,,132,,,0
