Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,13887,,98009,,,0
H5,2018,2018,2018,6,1,2,Export,178,Congo,COG,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,1040,,2159,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,120,Cameroon,CMR,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,10827,,8106,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,251,France,FRA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,17,,278,,,0
H5,2018,2018,2018,6,1,2,Export,178,Congo,COG,266,Gabon,GAB,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,1040,,2159,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,826,United Kingdom,GBR,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,3043,,89623,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,8648,,,,8648,,2355601,,,6
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3849,,,,3849,,1354405,,,6
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,107,,,,107,,17339,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4146,,,,4146,,906471,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,384,Côte d'Ivoire,CIV,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,288,,,,288,,3203,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,504,Morocco,MAR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,14,,,,14,,2700,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,686,Senegal,SEN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,202,,,,202,,71426,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,42,,,,42,,53,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,211856,,,,211856,,741571,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,103930,,,,103930,,217945,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,76,Brazil,BRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,113,,,,113,,1582,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,156,China,CHN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,18,,,,18,,28,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,251,France,FRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,44997,,,,44997,,240794,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,276,Germany,DEU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2,,,,2,,432,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,381,Italy,ITA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,14424,,,,14424,,74468,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,422,Lebanon,LBN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,897,,,,897,,852,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,568,"Other Europe, nes",,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,26,,,,26,,1333,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,724,Spain,ESP,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2448,,,,2448,,7748,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,826,United Kingdom,GBR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,45000,,,,45000,,196383,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,4999,,,,4999,,134034,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,56,Belgium,BEL,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,323,,,,323,,43901,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,251,France,FRA,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,4675,,,,4675,,89822,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,528,Netherlands,NLD,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,0,,,,0,,309,,,0
H5,2018,2018,2018,6,1,1,Import,178,Congo,COG,0,World,WLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,32585,,,,32585,,649675,,,0
