Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,188,Costa Rica,CRI,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1668905,,,,691257,,246084,,,2
H5,2017,2017,2017,6,1,2,Export,188,Costa Rica,CRI,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,9368793,,,,3921811,,1384629,,,2
H5,2017,2017,2017,6,1,2,Export,188,Costa Rica,CRI,214,Dominican Rep.,DOM,,,,,,,,280440,Oxygen,12,Volume in cubic meters,899417,,,,324000,,132926,,,2
H5,2017,2017,2017,6,1,1,Import,188,Costa Rica,CRI,276,Germany,DEU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1082,,,,2,,159,,,2
H5,2017,2017,2017,6,1,1,Import,188,Costa Rica,CRI,320,Guatemala,GTM,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1145360,,,,463126,,168886,,,2
H5,2017,2017,2017,6,1,2,Export,188,Costa Rica,CRI,340,Honduras,HND,,,,,,,,280440,Oxygen,12,Volume in cubic meters,617315,,,,181631,,91234,,,2
H5,2017,2017,2017,6,1,2,Export,188,Costa Rica,CRI,388,Jamaica,JAM,,,,,,,,280440,Oxygen,12,Volume in cubic meters,624530,,,,540000,,92300,,,2
H5,2017,2017,2017,6,1,1,Import,188,Costa Rica,CRI,484,Mexico,MEX,,,,,,,,280440,Oxygen,12,Volume in cubic meters,67844,,,,3797,,10003,,,2
H5,2017,2017,2017,6,1,2,Export,188,Costa Rica,CRI,484,Mexico,MEX,,,,,,,,280440,Oxygen,12,Volume in cubic meters,179,,,,28,,26,,,2
H5,2017,2017,2017,6,1,2,Export,188,Costa Rica,CRI,533,Aruba,ABW,,,,,,,,280440,Oxygen,12,Volume in cubic meters,165470,,,,53000,,24455,,,2
