Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,384,Côte d'Ivoire,CIV,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,47329,,,,,,7430,,,6
H5,2018,2018,2018,6,1,2,Export,384,Côte d'Ivoire,CIV,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,5581003,,,,1500401,,998817,,,2
H5,2018,2018,2018,6,1,1,Import,384,Côte d'Ivoire,CIV,56,Belgium,BEL,,,,,,,,280440,Oxygen,12,Volume in cubic meters,11099,,,,259,,1742,,,2
H5,2018,2018,2018,6,1,2,Export,384,Côte d'Ivoire,CIV,204,Benin,BEN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,950759,,,,260218,,170155,,,2
H5,2018,2018,2018,6,1,1,Import,384,Côte d'Ivoire,CIV,251,France,FRA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,3238,,,,9,,508,,,2
H5,2018,2018,2018,6,1,1,Import,384,Côte d'Ivoire,CIV,276,Germany,DEU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2192,,,,,,344,,,6
H5,2018,2018,2018,6,1,1,Import,384,Côte d'Ivoire,CIV,288,Ghana,GHA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2861,,,,287,,449,,,2
H5,2018,2018,2018,6,1,2,Export,384,Côte d'Ivoire,CIV,288,Ghana,GHA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1856718,,,,480863,,332292,,,2
H5,2018,2018,2018,6,1,1,Import,384,Côte d'Ivoire,CIV,381,Italy,ITA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,4113,,,,25,,645,,,2
H5,2018,2018,2018,6,1,2,Export,384,Côte d'Ivoire,CIV,466,Mali,MLI,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1088571,,,,282968,,194818,,,2
H5,2018,2018,2018,6,1,2,Export,384,Côte d'Ivoire,CIV,686,Senegal,SEN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,249766,,,,103520,,44700,,,2
H5,2018,2018,2018,6,1,1,Import,384,Côte d'Ivoire,CIV,702,Singapore,SGP,,,,,,,,280440,Oxygen,12,Volume in cubic meters,9420,,,,30,,1478,,,2
H5,2018,2018,2018,6,1,1,Import,384,Côte d'Ivoire,CIV,788,Tunisia,TUN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,9120,,,,185,,1431,,,2
