Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,1099398,,,6
H5,2017,2017,2017,6,1,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,3015685,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,40,Austria,AUT,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,13352,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,70,Bosnia Herzegovina,BIH,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,17984,,,6
H5,2017,2017,2017,6,1,2,Export,191,Croatia,HRV,70,Bosnia Herzegovina,BIH,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,1229303,,249904,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,276,Germany,DEU,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,3516,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,348,Hungary,HUN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,2522,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,381,Italy,ITA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,634451,,,,983228,,227737,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,616,Poland,POL,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,401,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,688,Serbia,SRB,,,,,,,,280440,Oxygen,12,Volume in cubic meters,453565,,,,,,394582,,,6
H5,2017,2017,2017,6,1,2,Export,191,Croatia,HRV,688,Serbia,SRB,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,42969,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,705,Slovenia,SVN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,3647945,,438501,,,6
H5,2017,2017,2017,6,1,2,Export,191,Croatia,HRV,705,Slovenia,SVN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,27532,,,,16827604,,2722751,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,826,United Kingdom,GBR,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,744,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,59,,,6
H5,2017,2017,2017,6,1,2,Export,191,Croatia,HRV,899,"Areas, nes",,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,61,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,9655,,,,,,11226731,,,6
H5,2017,2017,2017,6,1,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,0,,,,,,1933,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,40,Austria,AUT,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,47,,,,,,36366,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1651,,,,1651,,1554179,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4678,,,,4678,,5644121,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,0,,,,0,,120,,,0
H5,2017,2017,2017,6,1,2,Export,191,Croatia,HRV,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,0,,,,,,54,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,348,Hungary,HUN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1351,,,,1351,,1389662,,,6
H5,2017,2017,2017,6,1,2,Export,191,Croatia,HRV,348,Hungary,HUN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,0,,,,0,,1879,,,0
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,381,Italy,ITA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,7,,,,7,,296044,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1658,,,,1658,,2106809,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,616,Poland,POL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,215,,,,,,165499,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,703,Slovakia,SVK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,15,,,,,,12076,,,6
H5,2017,2017,2017,6,1,1,Import,191,Croatia,HRV,757,Switzerland,CHE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,28,,,,,,21855,,,6
