Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2003,2003,2003,6,1,1,Import,192,Cuba,CUB,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,211,,3650,,,0
H2,2003,2003,2003,6,1,1,Import,192,Cuba,CUB,124,Canada,CAN,,,,,,,,280440,Oxygen,1,No Quantity,,,,,209,,2392,,,0
H2,2003,2003,2003,6,1,1,Import,192,Cuba,CUB,251,France,FRA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,1,,63,,,0
H2,2003,2003,2003,6,1,1,Import,192,Cuba,CUB,484,Mexico,MEX,,,,,,,,280440,Oxygen,1,No Quantity,,,,,1,,1195,,,0
H2,2003,2003,2003,6,1,1,Import,192,Cuba,CUB,0,World,WLD,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,8152,,,,8152,,1913447,,,0
H2,2003,2003,2003,6,1,2,Export,192,Cuba,CUB,0,World,WLD,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,116590,,,,116590,,24579853,,,0
H2,2003,2003,2003,6,1,2,Export,192,Cuba,CUB,12,Algeria,DZA,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,14785,,,,14785,,2218031,,,0
H2,2003,2003,2003,6,1,2,Export,192,Cuba,CUB,24,Angola,AGO,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,110,,,,110,,37700,,,0
H2,2003,2003,2003,6,1,2,Export,192,Cuba,CUB,32,Argentina,ARG,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,1794,,,,1794,,95253,,,0
H2,2003,2003,2003,6,1,1,Import,192,Cuba,CUB,76,Brazil,BRA,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,32,,,,32,,5439,,,0
H2,2003,2003,2003,6,1,2,Export,192,Cuba,CUB,76,Brazil,BRA,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,35,,,,35,,16300,,,0
H2,2003,2003,2003,6,1,1,Import,192,Cuba,CUB,100,Bulgaria,BGR,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,125,,,,125,,10997,,,0
H2,2003,2003,2003,6,1,2,Export,192,Cuba,CUB,112,Belarus,BLR,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,1348,,,,1348,,929560,,,0
H2,2003,2003,2003,6,1,1,Import,192,Cuba,CUB,124,Canada,CAN,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,838,,,,838,,87004,,,0
H2,2003,2003,2003,6,1,2,Export,192,Cuba,CUB,152,Chile,CHL,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,174,,,,174,,22844,,,0
H2,2003,2003,2003,6,1,1,Import,192,Cuba,CUB,156,China,CHN,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,2412,,,,2412,,3961,,,0
H2,2003,2003,2003,6,1,1,Import,192,Cuba,CUB,170,Colombia,COL,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,636,,,,636,,3496,,,0
H2,2003,2003,2003,6,1,2,Export,192,Cuba,CUB,170,Colombia,COL,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,1034,,,,1034,,535890,,,0
H2,2003,2003,2003,6,1,2,Export,192,Cuba,CUB,208,Denmark,DNK,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,10,,,,10,,11241,,,0
