Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,45936,,,,87715,,22446,,,4
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,300,Greece,GRC,,,,,,,,280440,Oxygen,12,Volume in cubic meters,30,,,,41,,109,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,381,Italy,ITA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,14,,,,26314,,6874,,,4
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,688,Serbia,SRB,,,,,,,,280440,Oxygen,12,Volume in cubic meters,45892,,,,61360,,15462,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,18296,,,,18296,,6320372,,,0
H5,2017,2017,2017,6,1,2,Export,196,Cyprus,CYP,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,,,1,,264,,,0
H5,2017,2017,2017,6,1,3,Re-Export,196,Cyprus,CYP,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,,,1,,264,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,598,,,,598,,518370,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,100,Bulgaria,BGR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4862,,,,4862,,3581372,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,470,,,,470,,211589,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,,,1,,394,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,300,Greece,GRC,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,5463,,,,5463,,1388317,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,348,Hungary,HUN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,6851,,,,6851,,578304,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,51,,,,51,,42023,,,0
H5,2017,2017,2017,6,1,2,Export,196,Cyprus,CYP,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,,,1,,264,,,0
H5,2017,2017,2017,6,1,3,Re-Export,196,Cyprus,CYP,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,,,1,,264,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,841481,,,,841481,,2828595,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,40,Austria,AUT,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2497,,,,2497,,14348,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,111772,,,,111772,,220755,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,100,Bulgaria,BGR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,22801,,,,22801,,34286,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,156,China,CHN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,95,,,,95,,1525,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,203,Czechia,CZE,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1086,,,,1086,,17182,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,208,Denmark,DNK,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,163,,,,163,,931,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,251,France,FRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1208,,,,1208,,8106,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,276,Germany,DEU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,117438,,,,117438,,727363,,,0
H5,2017,2017,2017,6,1,1,Import,196,Cyprus,CYP,300,Greece,GRC,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,334266,,,,334266,,931905,,,0
