Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2015,2015,2015,6,1,1,Import,180,Dem. Rep. of the Congo,COD,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,410774,,486167,,,2
H4,2015,2015,2015,6,1,2,Export,180,Dem. Rep. of the Congo,COD,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,3,,,,77,,3399,,,0
H4,2015,2015,2015,6,1,1,Import,180,Dem. Rep. of the Congo,COD,56,Belgium,BEL,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,3,,407,,,2
H4,2015,2015,2015,6,1,2,Export,180,Dem. Rep. of the Congo,COD,56,Belgium,BEL,,,,,,,,280440,Oxygen,12,Volume in cubic meters,3,,,,77,,3399,,,0
H4,2015,2015,2015,6,1,1,Import,180,Dem. Rep. of the Congo,COD,156,China,CHN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,4,,,,3,,410,,,0
H4,2015,2015,2015,6,1,1,Import,180,Dem. Rep. of the Congo,COD,710,South Africa,ZAF,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,27444,,20336,,,2
H4,2015,2015,2015,6,1,1,Import,180,Dem. Rep. of the Congo,COD,784,United Arab Emirates,ARE,,,,,,,,280440,Oxygen,12,Volume in cubic meters,4,,,,200,,31,,,0
H4,2015,2015,2015,6,1,1,Import,180,Dem. Rep. of the Congo,COD,800,Uganda,UGA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,6547,,,,26100,,10110,,,2
H4,2015,2015,2015,6,1,1,Import,180,Dem. Rep. of the Congo,COD,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,16,,2076,,,2
H4,2015,2015,2015,6,1,1,Import,180,Dem. Rep. of the Congo,COD,894,Zambia,ZMB,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1488497,,,,357008,,452794,,,2
