Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2009,2009,2009,6,1,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,444,,14661,,,0
H3,2009,2009,2009,6,1,1,Import,262,Djibouti,DJI,706,Somalia,SOM,,,,,,,,280440,Oxygen,1,No Quantity,,,,,200,,4143,,,0
H3,2009,2009,2009,6,1,1,Import,262,Djibouti,DJI,804,Ukraine,UKR,,,,,,,,280440,Oxygen,1,No Quantity,,,,,244,,10517,,,0
H3,2009,2009,2009,6,1,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,28726,,,,28726,,1698791,,,0
H3,2009,2009,2009,6,1,2,Export,262,Djibouti,DJI,0,World,WLD,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,41,,,,41,,830,,,0
H3,2009,2009,2009,6,1,1,Import,262,Djibouti,DJI,231,Ethiopia,ETH,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,34,,,,34,,2858,,,0
H3,2009,2009,2009,6,1,1,Import,262,Djibouti,DJI,251,France,FRA,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,25441,,,,25441,,1552988,,,0
H3,2009,2009,2009,6,1,1,Import,262,Djibouti,DJI,276,Germany,DEU,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,11,,,,11,,2509,,,0
H3,2009,2009,2009,6,1,1,Import,262,Djibouti,DJI,404,Kenya,KEN,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,317,,,,317,,9993,,,0
H3,2009,2009,2009,6,1,1,Import,262,Djibouti,DJI,699,India,IND,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,17,,,,17,,832,,,0
H3,2009,2009,2009,6,1,2,Export,262,Djibouti,DJI,706,Somalia,SOM,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,41,,,,41,,830,,,0
H3,2009,2009,2009,6,1,1,Import,262,Djibouti,DJI,752,Sweden,SWE,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,6,,,,6,,4598,,,0
H3,2009,2009,2009,6,1,1,Import,262,Djibouti,DJI,760,Syria,SYR,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,150,,,,150,,4081,,,0
H3,2009,2009,2009,6,1,1,Import,262,Djibouti,DJI,804,Ukraine,UKR,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,2150,,,,2150,,83480,,,0
H3,2009,2009,2009,6,1,1,Import,262,Djibouti,DJI,818,Egypt,EGY,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,500,,,,500,,37010,,,0
H3,2009,2009,2009,6,1,1,Import,262,Djibouti,DJI,887,Yemen,YEM,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,100,,,,100,,441,,,0
H3,2009,2009,2009,6,1,1,Import,262,Djibouti,DJI,0,World,WLD,,,,,,,,380894,"Disinfectants, put up in forms/packings for retail sale/as preparations/articles",8,Weight in kilograms,59598,,,,59598,,138883,,,0
H3,2009,2009,2009,6,1,1,Import,262,Djibouti,DJI,682,Saudi Arabia,SAU,,,,,,,,380894,"Disinfectants, put up in forms/packings for retail sale/as preparations/articles",8,Weight in kilograms,36000,,,,36000,,85361,,,0
