Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2009,2009,2009,6,1,1,Import,212,Dominica,DMA,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,1,,1093,,,0
H3,2009,2009,2009,6,1,1,Import,212,Dominica,DMA,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,1,,1093,,,0
H3,2009,2009,2009,6,1,1,Import,212,Dominica,DMA,0,World,WLD,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,1017,,,,1017,,119451,,,0
H3,2009,2009,2009,6,1,1,Import,212,Dominica,DMA,52,Barbados,BRB,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,100,,,,100,,22120,,,0
H3,2009,2009,2009,6,1,1,Import,212,Dominica,DMA,56,Belgium,BEL,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,22,,,,22,,14181,,,0
H3,2009,2009,2009,6,1,1,Import,212,Dominica,DMA,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,4,,,,4,,373,,,0
H3,2009,2009,2009,6,1,1,Import,212,Dominica,DMA,528,Netherlands,NLD,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,10,,,,10,,1304,,,0
H3,2009,2009,2009,6,1,1,Import,212,Dominica,DMA,554,New Zealand,NZL,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,6,,,,6,,17845,,,0
H3,2009,2009,2009,6,1,1,Import,212,Dominica,DMA,699,India,IND,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,31,,,,31,,920,,,0
H3,2009,2009,2009,6,1,1,Import,212,Dominica,DMA,842,USA,USA,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,844,,,,844,,62709,,,0
H3,2009,2009,2009,6,1,1,Import,212,Dominica,DMA,0,World,WLD,,,,,,,,380894,"Disinfectants, put up in forms/packings for retail sale/as preparations/articles",8,Weight in kilograms,84240,,,,84240,,182841,,,0
H3,2009,2009,2009,6,1,2,Export,212,Dominica,DMA,0,World,WLD,,,,,,,,380894,"Disinfectants, put up in forms/packings for retail sale/as preparations/articles",8,Weight in kilograms,18,,,,18,,146,,,0
H3,2009,2009,2009,6,1,3,Re-Export,212,Dominica,DMA,0,World,WLD,,,,,,,,380894,"Disinfectants, put up in forms/packings for retail sale/as preparations/articles",8,Weight in kilograms,18,,,,18,,146,,,0
H3,2009,2009,2009,6,1,2,Export,212,Dominica,DMA,28,Antigua and Barbuda,ATG,,,,,,,,380894,"Disinfectants, put up in forms/packings for retail sale/as preparations/articles",8,Weight in kilograms,18,,,,18,,146,,,0
H3,2009,2009,2009,6,1,3,Re-Export,212,Dominica,DMA,28,Antigua and Barbuda,ATG,,,,,,,,380894,"Disinfectants, put up in forms/packings for retail sale/as preparations/articles",8,Weight in kilograms,18,,,,18,,146,,,0
H3,2009,2009,2009,6,1,1,Import,212,Dominica,DMA,32,Argentina,ARG,,,,,,,,380894,"Disinfectants, put up in forms/packings for retail sale/as preparations/articles",8,Weight in kilograms,1125,,,,1125,,870,,,0
H3,2009,2009,2009,6,1,1,Import,212,Dominica,DMA,52,Barbados,BRB,,,,,,,,380894,"Disinfectants, put up in forms/packings for retail sale/as preparations/articles",8,Weight in kilograms,643,,,,643,,3336,,,0
H3,2009,2009,2009,6,1,1,Import,212,Dominica,DMA,76,Brazil,BRA,,,,,,,,380894,"Disinfectants, put up in forms/packings for retail sale/as preparations/articles",8,Weight in kilograms,382,,,,382,,786,,,0
H3,2009,2009,2009,6,1,1,Import,212,Dominica,DMA,124,Canada,CAN,,,,,,,,380894,"Disinfectants, put up in forms/packings for retail sale/as preparations/articles",8,Weight in kilograms,271,,,,271,,621,,,0
H3,2009,2009,2009,6,1,1,Import,212,Dominica,DMA,156,China,CHN,,,,,,,,380894,"Disinfectants, put up in forms/packings for retail sale/as preparations/articles",8,Weight in kilograms,188,,,,188,,656,,,0
