Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,24439918,,,,,,3603725,,,6
H5,2017,2017,2017,6,1,2,Export,214,Dominican Rep.,DOM,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,177916,,,,199053,,26294,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,156,China,CHN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,548,,,,,,80,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,170,Colombia,COL,,,,,,,,280440,Oxygen,12,Volume in cubic meters,46600,,,,,,6871,,,6
H5,2017,2017,2017,6,1,2,Export,214,Dominican Rep.,DOM,170,Colombia,COL,,,,,,,,280440,Oxygen,12,Volume in cubic meters,811,,,,908,,120,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,188,Costa Rica,CRI,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1024894,,,,,,151123,,,6
H5,2017,2017,2017,6,1,2,Export,214,Dominican Rep.,DOM,332,Haiti,HTI,,,,,,,,280440,Oxygen,12,Volume in cubic meters,136729,,,,152973,,20207,,,6
H5,2017,2017,2017,6,1,2,Export,214,Dominican Rep.,DOM,388,Jamaica,JAM,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1799,,,,2013,,266,,,6
H5,2017,2017,2017,6,1,2,Export,214,Dominican Rep.,DOM,470,Malta,MLT,,,,,,,,280440,Oxygen,12,Volume in cubic meters,608,,,,681,,90,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,484,Mexico,MEX,,,,,,,,280440,Oxygen,12,Volume in cubic meters,24692,,,,,,3640,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,591,Panama,PAN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,52187,,,,,,7695,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,724,Spain,ESP,,,,,,,,280440,Oxygen,12,Volume in cubic meters,861,,,,,,127,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,780,Trinidad and Tobago,TTO,,,,,,,,280440,Oxygen,12,Volume in cubic meters,6234697,,,,,,919321,,,6
H5,2017,2017,2017,6,1,2,Export,214,Dominican Rep.,DOM,796,Turks and Caicos Isds,TCA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2773,,,,3103,,409,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,826,United Kingdom,GBR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,75705,,,,,,11162,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,16979731,,,,,,2503702,,,6
H5,2017,2017,2017,6,1,2,Export,214,Dominican Rep.,DOM,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,35192,,,,39373,,5201,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,26299,,,,,,20157279,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,32,Argentina,ARG,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,30,,,,,,23647,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3643,,,,,,2792360,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,71,,,,,,55006,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,156,China,CHN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,0,,,,,,210,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4307,,,,,,3301099,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1824,,,,,,1398118,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1913,,,,,,1466790,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,484,Mexico,MEX,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,22,,,,,,17418,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1267,,,,,,971359,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,591,Panama,PAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,660,,,,,,506496,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,5012,,,,,,3841426,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,724,Spain,ESP,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,56,,,,,,43418,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,757,Switzerland,CHE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,83,,,,,,64121,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,30,,,,,,23302,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,7374,,,,,,5652502,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1403217,,,,1403217,,3990271,,,6
H5,2017,2017,2017,6,1,2,Export,214,Dominican Rep.,DOM,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,85228,,,,85228,,271020,,,6
H5,2017,2017,2017,6,1,1,Import,214,Dominican Rep.,DOM,32,Argentina,ARG,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,53347,,,,53347,,151702,,,6
