Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,44063,,,6
H5,2017,2017,2017,6,1,2,Export,218,Ecuador,ECU,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,159737,,,6
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,32,Argentina,ARG,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,3342,,,6
H5,2017,2017,2017,6,1,2,Export,218,Ecuador,ECU,68,Bolivia (Plurinational State of),BOL,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,15,,414,,,2
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,124,Canada,CAN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,85,,597,,,2
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,152,Chile,CHL,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,8,,123,,,2
H5,2017,2017,2017,6,1,2,Export,218,Ecuador,ECU,152,Chile,CHL,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,3650,,75551,,,6
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,156,China,CHN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,591,,3618,,,2
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,170,Colombia,COL,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,384,,8918,,,2
H5,2017,2017,2017,6,1,2,Export,218,Ecuador,ECU,170,Colombia,COL,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,892,,2042,,,6
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,208,Denmark,DNK,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,85,,4180,,,6
H5,2017,2017,2017,6,1,2,Export,218,Ecuador,ECU,604,Peru,PER,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,24082,,,6
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,752,Sweden,SWE,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,25,,827,,,2
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,1821,,22456,,,2
H5,2017,2017,2017,6,1,2,Export,218,Ecuador,ECU,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,5623,,57647,,,6
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,154899,,,,87410,,46386288,,,0
H5,2017,2017,2017,6,1,2,Export,218,Ecuador,ECU,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,189,,,,179,,490350,,,0
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,39359,,,,25672,,17606211,,,0
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,76,Brazil,BRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2810,,,,1100,,423220,,,0
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,100,Bulgaria,BGR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1857,,,,1854,,172108,,,0
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,663,,,,150,,119890,,,0
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,8481,,,,3906,,2372983,,,0
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3593,,,,3217,,863266,,,0
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,372,Ireland,IRL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3232,,,,765,,1056194,,,0
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,381,Italy,ITA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2908,,,,2936,,3368638,,,0
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,40130,,,,21705,,10852399,,,0
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1275,,,,1275,,431330,,,0
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,591,Panama,PAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,418,,,,46,,19940,,,0
H5,2017,2017,2017,6,1,2,Export,218,Ecuador,ECU,591,Panama,PAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,189,,,,179,,490350,,,0
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,604,Peru,PER,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,218,,,,69,,47659,,,0
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,643,Russian Federation,RUS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,6760,,,,650,,3685630,,,0
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,37317,,,,20883,,3742181,,,0
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,757,Switzerland,CHE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,76,,,,202,,52448,,,0
H5,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,5797,,,,2976,,1572184,,,0
