Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,6,1,1,Import,818,Egypt,EGY,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,419,,,,227469,,50915,,,4
H4,2014,2014,2014,6,1,2,Export,818,Egypt,EGY,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,68270,,,,198411,,39661,,,4
H4,2014,2014,2014,6,1,1,Import,818,Egypt,EGY,156,China,CHN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1,,,,15985,,3578,,,4
H4,2014,2014,2014,6,1,1,Import,818,Egypt,EGY,208,Denmark,DNK,,,,,,,,280440,Oxygen,12,Volume in cubic meters,180,,,,81192,,18173,,,4
H4,2014,2014,2014,6,1,1,Import,818,Egypt,EGY,276,Germany,DEU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,34,,,,87872,,19669,,,4
H4,2014,2014,2014,6,1,2,Export,818,Egypt,EGY,434,Libya,LBY,,,,,,,,280440,Oxygen,12,Volume in cubic meters,68270,,,,198411,,39661,,,4
H4,2014,2014,2014,6,1,1,Import,818,Egypt,EGY,634,Qatar,QAT,,,,,,,,280440,Oxygen,12,Volume in cubic meters,200,,,,9747,,2182,,,4
H4,2014,2014,2014,6,1,1,Import,818,Egypt,EGY,784,United Arab Emirates,ARE,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2,,,,3951,,884,,,4
H4,2014,2014,2014,6,1,1,Import,818,Egypt,EGY,826,United Kingdom,GBR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1,,,,28499,,6379,,,4
H4,2014,2014,2014,6,1,1,Import,818,Egypt,EGY,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1,,,,224,,50,,,4
H4,2014,2014,2014,6,1,1,Import,818,Egypt,EGY,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,114558,,,,114558,,26726431,,,0
H4,2014,2014,2014,6,1,2,Export,818,Egypt,EGY,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1787,,,,1787,,12898,,,0
H4,2014,2014,2014,6,1,1,Import,818,Egypt,EGY,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4119,,,,4119,,896645,,,0
