Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,222,El Salvador,SLV,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,392790,,123837,,,2
H5,2017,2017,2017,6,1,2,Export,222,El Salvador,SLV,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,3293,,4860,,,2
H5,2017,2017,2017,6,1,1,Import,222,El Salvador,SLV,156,China,CHN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,10,,864,,,2
H5,2017,2017,2017,6,1,1,Import,222,El Salvador,SLV,320,Guatemala,GTM,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,265356,,73262,,,2
H5,2017,2017,2017,6,1,2,Export,222,El Salvador,SLV,320,Guatemala,GTM,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,298,,801,,,2
H5,2017,2017,2017,6,1,2,Export,222,El Salvador,SLV,558,Nicaragua,NIC,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,2995,,4059,,,2
H5,2017,2017,2017,6,1,1,Import,222,El Salvador,SLV,780,Trinidad and Tobago,TTO,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,115240,,35936,,,2
H5,2017,2017,2017,6,1,1,Import,222,El Salvador,SLV,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,12184,,13773,,,2
H5,2017,2017,2017,6,1,1,Import,222,El Salvador,SLV,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,43582,,,,43582,,11538701,,,0
H5,2017,2017,2017,6,1,1,Import,222,El Salvador,SLV,32,Argentina,ARG,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,123,,,,123,,21541,,,0
H5,2017,2017,2017,6,1,1,Import,222,El Salvador,SLV,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,8709,,,,8709,,2352984,,,0
H5,2017,2017,2017,6,1,1,Import,222,El Salvador,SLV,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,552,,,,552,,118563,,,0
