Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,0,World,WLD,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,10764,,,,10764,,729412,,,6
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,208,Denmark,DNK,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,8934,,,,8934,,621104,,,6
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,251,France,FRA,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,51,,,,51,,15118,,,0
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,276,Germany,DEU,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,150,,,,150,,1860,,,0
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,360,Indonesia,IDN,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,412,,,,412,,15799,,,0
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,381,Italy,ITA,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,134,,,,134,,18646,,,0
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,757,Switzerland,CHE,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,1063,,,,1063,,56851,,,0
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,818,Egypt,EGY,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,20,,,,20,,35,,,0
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,0,World,WLD,,,,,,,,382100,Prepared culture media for developing micro-organisms,8,Weight in kilograms,1002,,,,1002,,31133,,,6
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,276,Germany,DEU,,,,,,,,382100,Prepared culture media for developing micro-organisms,8,Weight in kilograms,1002,,,,1002,,31133,,,6
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,0,World,WLD,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,2466,,,,2466,,202044,,,6
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,36,Australia,AUS,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,39,,,,39,,3175,,,6
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,56,Belgium,BEL,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,53,,,,53,,4341,,,6
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,208,Denmark,DNK,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,138,,,,138,,19474,,,6
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,251,France,FRA,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,8,,,,8,,680,,,6
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,276,Germany,DEU,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,961,,,,961,,72198,,,6
H1,2003,2003,2003,6,1,1,Import,232,Eritrea,ERI,372,Ireland,IRL,,,,,,,,382200,"Composite diagnostic or laboratory reagents, nes",8,Weight in kilograms,122,,,,122,,25935,,,0
