Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,3192073,,658576,,,6
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,8564014,,,,12779024,,2024314,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,40,Austria,AUT,,,,,,,,280440,Oxygen,12,Volume in cubic meters,192,,,,258,,1044,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,203,Czechia,CZE,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,10216,,2107,,,6
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,246,Finland,FIN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,49346,,,,67200,,5666,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,246,Finland,FIN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,70,,,,122,,104,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,276,Germany,DEU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,5490,,,,7340,,1071,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,381,Italy,ITA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1464,,,,1918,,16799,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,428,Latvia,LVA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1931479,,,,2794394,,576350,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,428,Latvia,LVA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1269856,,,,2614635,,320546,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,440,Lithuania,LTU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,620353,,,,1240320,,143540,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,568,"Other Europe, nes",,,,,,,,,280440,Oxygen,12,Volume in cubic meters,12,,,,15,,130,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,616,Poland,POL,,,,,,,,280440,Oxygen,12,Volume in cubic meters,229396,,,,310731,,55405,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,643,Russian Federation,RUS,,,,,,,,280440,Oxygen,12,Volume in cubic meters,6673714,,,,8923918,,1560092,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,804,Ukraine,UKR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,21,,,,28,,31,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2027,,,,2027,,2949910,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,40,Austria,AUT,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,59,,,,59,,637335,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1468,,,,1468,,1537146,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,246,Finland,FIN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,0,,,,0,,480,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,209,,,,209,,361960,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,166,,,,166,,162630,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,428,Latvia,LVA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,9,,,,9,,21403,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,440,Lithuania,LTU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,15,,,,15,,24517,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,74,,,,74,,58768,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,752,Sweden,SWE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,,,1,,872,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,21,,,,21,,144794,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1117832,,,,1117832,,2925753,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1291761,,,,1291761,,3587879,,,0
H5,2017,2017,2017,6,1,4,Re-Import,233,Estonia,EST,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,114,,,,114,,368,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,40,Austria,AUT,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5532,,,,5532,,25725,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,40,Austria,AUT,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,3463,,,,3463,,10086,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,51,Armenia,ARM,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2859,,,,2859,,4152,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,117793,,,,117793,,211716,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,112,Belarus,BLR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2000,,,,2000,,8114,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,124,Canada,CAN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,46,,,,46,,480,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,156,China,CHN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,68226,,,,68226,,123930,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,203,Czechia,CZE,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1181,,,,1181,,6001,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,208,Denmark,DNK,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,16962,,,,16962,,23704,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,208,Denmark,DNK,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,149125,,,,149125,,379705,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,233,Estonia,EST,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,114,,,,114,,368,,,0
H5,2017,2017,2017,6,1,4,Re-Import,233,Estonia,EST,233,Estonia,EST,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,114,,,,114,,368,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,246,Finland,FIN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,54018,,,,54018,,146650,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,246,Finland,FIN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,65278,,,,65278,,277297,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,251,France,FRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,104524,,,,104524,,164649,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,268,Georgia,GEO,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5428,,,,5428,,19345,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,276,Germany,DEU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,391582,,,,391582,,1463121,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,276,Germany,DEU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,8519,,,,8519,,111329,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,300,Greece,GRC,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,27854,,,,27854,,60454,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,348,Hungary,HUN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1161,,,,1161,,1614,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,364,Iran,IRN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,4,,,,4,,4,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,372,Ireland,IRL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,100,,,,100,,932,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,381,Italy,ITA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1138,,,,1138,,9462,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,392,Japan,JPN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1,,,,1,,51,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,398,Kazakhstan,KAZ,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2264,,,,2264,,13043,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,428,Latvia,LVA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,4108,,,,4108,,17074,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,428,Latvia,LVA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,294461,,,,294461,,738795,,,0
H5,2017,2017,2017,6,1,1,Import,233,Estonia,EST,440,Lithuania,LTU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,13287,,,,13287,,35146,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,440,Lithuania,LTU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,123142,,,,123142,,302530,,,0
H5,2017,2017,2017,6,1,2,Export,233,Estonia,EST,470,Malta,MLT,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,0,,,,0,,8,,,0
