Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,6,1,1,Import,231,Ethiopia,ETH,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,10953,,,6
H4,2014,2014,2014,6,1,1,Import,231,Ethiopia,ETH,156,China,CHN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,16,,97,,,2
H4,2014,2014,2014,6,1,1,Import,231,Ethiopia,ETH,276,Germany,DEU,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,29,,582,,,2
H4,2014,2014,2014,6,1,1,Import,231,Ethiopia,ETH,392,Japan,JPN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,1595,,,6
H4,2014,2014,2014,6,1,1,Import,231,Ethiopia,ETH,724,Spain,ESP,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,5,,952,,,2
H4,2014,2014,2014,6,1,1,Import,231,Ethiopia,ETH,826,United Kingdom,GBR,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,118,,7725,,,2
H4,2014,2014,2014,6,1,1,Import,231,Ethiopia,ETH,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,473178,,,,473178,,114486018,,,0
H4,2014,2014,2014,6,1,1,Import,231,Ethiopia,ETH,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,125591,,,,125591,,61969450,,,0
H4,2014,2014,2014,6,1,1,Import,231,Ethiopia,ETH,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,326,,,,326,,177346,,,0
H4,2014,2014,2014,6,1,1,Import,231,Ethiopia,ETH,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,739,,,,739,,9558,,,0
