Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2002,2002,2002,6,1,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,621010,Garments made up of fabrics of 56.02/56.03,1,No Quantity,,,,,,,3590644,,,0
H2,2002,2002,2002,6,1,2,Export,583,FS Micronesia,FSM,842,USA,USA,,,,,,,,621010,Garments made up of fabrics of 56.02/56.03,1,No Quantity,,,,,,,3590644,,,0
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,108964,,23413,,,4
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,610,,,,610,,140548,,,6
H2,2003,2003,2003,6,1,4,Re-Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,8,,,,8,,1915,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,382100,Prepared culture media for development of micro-organisms,8,Weight in kilograms,6,,,,6,,176,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,216,,,,216,,15381,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,401511,Surgical gloves of vulcanised rubber,8,Weight in kilograms,1481,,,,1481,,6197,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,481850,"Articles of apparel & clothing accessories, of paper pulp/paper/cellulose w ...",8,Weight in kilograms,2292,,,,2292,,17563,,,6
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,5603,"Nonwovens, whether or not impregnated, coated, covered or laminated.",8,Weight in kilograms,116,,,,116,,420,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,621010,Garments made up of fabrics of 56.02/56.03,8,Weight in kilograms,34,,,,34,,500,,,6
H2,2003,2003,2003,6,1,2,Export,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,621010,Garments made up of fabrics of 56.02/56.03,1,No Quantity,,,,,,,3171961,,,0
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,841920,"Medical/surgical/laboratory sterilisers, whether or not electrically heated ...",5,Number of items,2,,,,80,,3750,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,280440,Oxygen,1,No Quantity,,,,,72104,,15493,,,4
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,36,Australia,AUS,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,60,,,,60,,13807,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,44,,,,44,,10078,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,36,Australia,AUS,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,75,,,,75,,5330,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,34,,,,34,,2387,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,401511,Surgical gloves of vulcanised rubber,8,Weight in kilograms,698,,,,698,,2919,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,481850,"Articles of apparel & clothing accessories, of paper pulp/paper/cellulose w ...",8,Weight in kilograms,5,,,,5,,37,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,900490,"Spectacles, goggles and the like, corrective, protective/oth. (excl. sungla ...",5,Number of items,1473,,,,153,,5143,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,901920,Ozone therapy/oxygen therapy/aerosol therapy/art. respiration/oth. therapeu ...,8,Weight in kilograms,30,,,,30,,1931,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,36,Australia,AUS,,,,,,,,901920,Ozone therapy/oxygen therapy/aerosol therapy/art. respiration/oth. therapeu ...,8,Weight in kilograms,2,,,,2,,110,,,6
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,9020,"Other breathing appliances and gas masks, excluding protective masks",8,Weight in kilograms,241,,,,241,,11483,,,6
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,156,China,CHN,,,,,,,,9020,"Other breathing appliances and gas masks, excluding protective masks",8,Weight in kilograms,1,,,,1,,31,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,902000,Breathing appls. (excl. of 90.19) & gas masks (excl. protective masks havin ...,8,Weight in kilograms,241,,,,241,,11483,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,156,China,CHN,,,,,,,,902000,Breathing appls. (excl. of 90.19) & gas masks (excl. protective masks havin ...,8,Weight in kilograms,1,,,,1,,31,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,0,World,WLD,,,,,,,,902780,"Instruments & app. for physical/chem. analysis, n.e.s. in 90.27",5,Number of items,1,,,,3,,436,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,410,Rep. of Korea,KOR,,,,,,,,280440,Oxygen,1,No Quantity,,,,,22269,,4785,,,4
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,490,"Other Asia, nes",,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,0,,,,0,,57,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,580,N. Mariana Isds,MNP,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,1,,,,1,,144,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,583,FS Micronesia,FSM,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,8,,,,8,,1915,,,6
H2,2003,2003,2003,6,1,4,Re-Import,583,FS Micronesia,FSM,583,FS Micronesia,FSM,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,8,,,,8,,1915,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,585,Palau,PLW,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,1,,,,1,,194,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,554,New Zealand,NZL,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,30,,,,30,,2110,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,585,Palau,PLW,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,0,,,,0,,1,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,392,Japan,JPN,,,,,,,,401511,Surgical gloves of vulcanised rubber,8,Weight in kilograms,3,,,,3,,12,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,344,"China, Hong Kong SAR",HKG,,,,,,,,481850,"Articles of apparel & clothing accessories, of paper pulp/paper/cellulose w ...",8,Weight in kilograms,704,,,,704,,5397,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,490,"Other Asia, nes",,,,,,,,,481850,"Articles of apparel & clothing accessories, of paper pulp/paper/cellulose w ...",8,Weight in kilograms,1434,,,,1434,,10987,,,6
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,344,"China, Hong Kong SAR",HKG,,,,,,,,5603,"Nonwovens, whether or not impregnated, coated, covered or laminated.",8,Weight in kilograms,116,,,,116,,420,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,344,"China, Hong Kong SAR",HKG,,,,,,,,621010,Garments made up of fabrics of 56.02/56.03,8,Weight in kilograms,6,,,,6,,82,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,841920,"Medical/surgical/laboratory sterilisers, whether or not electrically heated ...",5,Number of items,2,,,,80,,3750,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,900490,"Spectacles, goggles and the like, corrective, protective/oth. (excl. sungla ...",5,Number of items,399,,,,42,,1394,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,344,"China, Hong Kong SAR",HKG,,,,,,,,900490,"Spectacles, goggles and the like, corrective, protective/oth. (excl. sungla ...",5,Number of items,72,,,,7,,250,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,392,Japan,JPN,,,,,,,,900490,"Spectacles, goggles and the like, corrective, protective/oth. (excl. sungla ...",5,Number of items,354,,,,37,,1235,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,490,"Other Asia, nes",,,,,,,,,900490,"Spectacles, goggles and the like, corrective, protective/oth. (excl. sungla ...",5,Number of items,52,,,,5,,180,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,410,Rep. of Korea,KOR,,,,,,,,901920,Ozone therapy/oxygen therapy/aerosol therapy/art. respiration/oth. therapeu ...,8,Weight in kilograms,6,,,,6,,360,,,6
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,9020,"Other breathing appliances and gas masks, excluding protective masks",8,Weight in kilograms,39,,,,39,,1838,,,6
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,392,Japan,JPN,,,,,,,,9020,"Other breathing appliances and gas masks, excluding protective masks",8,Weight in kilograms,41,,,,41,,1969,,,6
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,410,Rep. of Korea,KOR,,,,,,,,9020,"Other breathing appliances and gas masks, excluding protective masks",8,Weight in kilograms,4,,,,4,,194,,,6
H2,2003,2003,2003,4,0,1,Import,583,FS Micronesia,FSM,490,"Other Asia, nes",,,,,,,,,9020,"Other breathing appliances and gas masks, excluding protective masks",8,Weight in kilograms,5,,,,5,,221,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,316,Guam,GUM,,,,,,,,902000,Breathing appls. (excl. of 90.19) & gas masks (excl. protective masks havin ...,8,Weight in kilograms,39,,,,39,,1838,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,392,Japan,JPN,,,,,,,,902000,Breathing appls. (excl. of 90.19) & gas masks (excl. protective masks havin ...,8,Weight in kilograms,41,,,,41,,1969,,,6
H2,2003,2003,2003,6,1,1,Import,583,FS Micronesia,FSM,410,Rep. of Korea,KOR,,,,,,,,902000,Breathing appls. (excl. of 90.19) & gas masks (excl. protective masks havin ...,8,Weight in kilograms,4,,,,4,,194,,,6
