Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,242,Fiji,FJI,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,536239,,,6
H5,2017,2017,2017,6,1,2,Export,242,Fiji,FJI,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,667,,,,0,,47538,,,4
H5,2017,2017,2017,6,1,3,Re-Export,242,Fiji,FJI,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,36,,,,0,,21216,,,0
H5,2017,2017,2017,6,1,1,Import,242,Fiji,FJI,36,Australia,AUS,,,,,,,,280440,Oxygen,12,Volume in cubic meters,3024,,,,,,48444,,,4
H5,2017,2017,2017,6,1,1,Import,242,Fiji,FJI,156,China,CHN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,291,,,6
H5,2017,2017,2017,6,1,2,Export,242,Fiji,FJI,296,Kiribati,KIR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,214,,,,0,,9838,,,4
H5,2017,2017,2017,6,1,3,Re-Export,242,Fiji,FJI,296,Kiribati,KIR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,22,,,,0,,3446,,,0
H5,2017,2017,2017,6,1,1,Import,242,Fiji,FJI,344,"China, Hong Kong SAR",HKG,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,1410,,,6
H5,2017,2017,2017,6,1,2,Export,242,Fiji,FJI,548,Vanuatu,VUT,,,,,,,,280440,Oxygen,12,Volume in cubic meters,113,,,,57845,,7641,,,4
H5,2017,2017,2017,6,1,1,Import,242,Fiji,FJI,554,New Zealand,NZL,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,451593,,,6
H5,2017,2017,2017,6,1,1,Import,242,Fiji,FJI,702,Singapore,SGP,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,,,8790,,,6
H5,2017,2017,2017,6,1,2,Export,242,Fiji,FJI,702,Singapore,SGP,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2,,,,0,,2920,,,0
H5,2017,2017,2017,6,1,3,Re-Export,242,Fiji,FJI,702,Singapore,SGP,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2,,,,0,,2920,,,0
