Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,1,Import,258,French Polynesia,PYF,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,14200,,138559,,,0
H4,2012,2012,2012,6,1,1,Import,258,French Polynesia,PYF,251,France,FRA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,2864,,44672,,,0
H4,2012,2012,2012,6,1,1,Import,258,French Polynesia,PYF,554,New Zealand,NZL,,,,,,,,280440,Oxygen,1,No Quantity,,,,,9830,,5860,,,0
H4,2012,2012,2012,6,1,1,Import,258,French Polynesia,PYF,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,1506,,88026,,,0
H4,2012,2012,2012,6,1,1,Import,258,French Polynesia,PYF,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,6824,,,,6824,,2663916,,,0
H4,2012,2012,2012,6,1,1,Import,258,French Polynesia,PYF,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,109,,,,109,,40473,,,0
H4,2012,2012,2012,6,1,1,Import,258,French Polynesia,PYF,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,9,,,,9,,2321,,,0
H4,2012,2012,2012,6,1,1,Import,258,French Polynesia,PYF,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,6253,,,,6253,,1928679,,,0
H4,2012,2012,2012,6,1,1,Import,258,French Polynesia,PYF,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,13,,,,13,,458880,,,0
H4,2012,2012,2012,6,1,1,Import,258,French Polynesia,PYF,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,440,,,,440,,233561,,,0
H4,2012,2012,2012,6,1,1,Import,258,French Polynesia,PYF,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,191321,,,,191321,,859367,,,0
H4,2012,2012,2012,6,1,2,Export,258,French Polynesia,PYF,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,4,,,,4,,86,,,0
H4,2012,2012,2012,6,1,1,Import,258,French Polynesia,PYF,36,Australia,AUS,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,2280,,,,2280,,12372,,,0
H4,2012,2012,2012,6,1,1,Import,258,French Polynesia,PYF,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1500,,,,1500,,2681,,,0
