Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,20064,,19169,,,0
H2,2004,2004,2004,6,1,2,Export,266,Gabon,GAB,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,17203,,68791,,,0
H2,2004,2004,2004,6,1,2,Export,266,Gabon,GAB,24,Angola,AGO,,,,,,,,280440,Oxygen,1,No Quantity,,,,,2863,,11497,,,0
H2,2004,2004,2004,6,1,2,Export,266,Gabon,GAB,178,Congo,COG,,,,,,,,280440,Oxygen,1,No Quantity,,,,,2466,,21848,,,0
H2,2004,2004,2004,6,1,2,Export,266,Gabon,GAB,226,Equatorial Guinea,GNQ,,,,,,,,280440,Oxygen,1,No Quantity,,,,,4762,,21033,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,251,France,FRA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,15755,,13806,,,0
H2,2004,2004,2004,6,1,2,Export,266,Gabon,GAB,251,France,FRA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,39,,1858,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,540,New Caledonia,NCL,,,,,,,,280440,Oxygen,1,No Quantity,,,,,4309,,5363,,,0
H2,2004,2004,2004,6,1,2,Export,266,Gabon,GAB,566,Nigeria,NGA,,,,,,,,280440,Oxygen,1,No Quantity,,,,,1800,,6620,,,0
H2,2004,2004,2004,6,1,2,Export,266,Gabon,GAB,678,Sao Tome and Principe,STP,,,,,,,,280440,Oxygen,1,No Quantity,,,,,5273,,5935,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,0,World,WLD,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,88909,,,,88909,,989963,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,56,Belgium,BEL,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,76,,,,76,,440,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,208,Denmark,DNK,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,600,,,,600,,2885,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,251,France,FRA,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,80534,,,,80534,,727661,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,381,Italy,ITA,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,920,,,,920,,8919,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,300,,,,300,,38958,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,528,Netherlands,NLD,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,40,,,,40,,3681,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,699,India,IND,,,,,,,,300220,Vaccines for human medicine,8,Weight in kilograms,6439,,,,6439,,207419,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,0,World,WLD,,,,,,,,382100,Prepared culture media for development of micro-organisms,8,Weight in kilograms,76979,,,,76979,,47684,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,251,France,FRA,,,,,,,,382100,Prepared culture media for development of micro-organisms,8,Weight in kilograms,76892,,,,76892,,36539,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,276,Germany,DEU,,,,,,,,382100,Prepared culture media for development of micro-organisms,8,Weight in kilograms,81,,,,81,,9758,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,842,USA,USA,,,,,,,,382100,Prepared culture media for development of micro-organisms,8,Weight in kilograms,6,,,,6,,1388,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,0,World,WLD,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,146564,,,,146564,,1418179,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,56,Belgium,BEL,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,3205,,,,3205,,24378,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,156,China,CHN,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,147,,,,147,,7794,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,178,Congo,COG,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,20,,,,20,,190,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,226,Equatorial Guinea,GNQ,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,44,,,,44,,625,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,251,France,FRA,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,64065,,,,64065,,1207954,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,276,Germany,DEU,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,1940,,,,1940,,103744,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,381,Italy,ITA,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,38367,,,,38367,,18095,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,384,Côte d'Ivoire,CIV,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,1,,,,1,,10,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,473,"LAIA, nes",,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,38267,,,,38267,,1654,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,528,Netherlands,NLD,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,51,,,,51,,3569,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,540,New Caledonia,NCL,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,376,,,,376,,44804,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,699,India,IND,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,3,,,,3,,9,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,724,Spain,ESP,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,13,,,,13,,1699,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,842,USA,USA,,,,,,,,382200,"Diagnostic/laboratory reagents on a backing, prepd. diagnostic/laboratory r ...",8,Weight in kilograms,65,,,,65,,3654,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,0,World,WLD,,,,,,,,401511,Surgical gloves of vulcanised rubber,8,Weight in kilograms,26809,,,,26809,,208315,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,204,Benin,BEN,,,,,,,,401511,Surgical gloves of vulcanised rubber,8,Weight in kilograms,5,,,,5,,212,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,251,France,FRA,,,,,,,,401511,Surgical gloves of vulcanised rubber,8,Weight in kilograms,25805,,,,25805,,203066,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,276,Germany,DEU,,,,,,,,401511,Surgical gloves of vulcanised rubber,8,Weight in kilograms,843,,,,843,,3716,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,528,Netherlands,NLD,,,,,,,,401511,Surgical gloves of vulcanised rubber,8,Weight in kilograms,65,,,,65,,436,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,699,India,IND,,,,,,,,401511,Surgical gloves of vulcanised rubber,8,Weight in kilograms,31,,,,31,,396,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,842,USA,USA,,,,,,,,401511,Surgical gloves of vulcanised rubber,8,Weight in kilograms,60,,,,60,,489,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,0,World,WLD,,,,,,,,481850,"Articles of apparel & clothing accessories, of paper pulp/paper/cellulose w ...",8,Weight in kilograms,3804,,,,3804,,14914,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,251,France,FRA,,,,,,,,481850,"Articles of apparel & clothing accessories, of paper pulp/paper/cellulose w ...",8,Weight in kilograms,3804,,,,3804,,14914,,,0
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,0,World,WLD,,,,,,,,5603,"Nonwovens, whether or not impregnated, coated, covered or laminated.",8,Weight in kilograms,99882,,,,99882,,312318,,,0
H2,2004,2004,2004,4,0,2,Export,266,Gabon,GAB,0,World,WLD,,,,,,,,5603,"Nonwovens, whether or not impregnated, coated, covered or laminated.",8,Weight in kilograms,2488,,,,2488,,3039,,,0
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,56,Belgium,BEL,,,,,,,,5603,"Nonwovens, whether or not impregnated, coated, covered or laminated.",8,Weight in kilograms,19797,,,,19797,,51545,,,0
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,251,France,FRA,,,,,,,,5603,"Nonwovens, whether or not impregnated, coated, covered or laminated.",8,Weight in kilograms,4169,,,,4169,,10530,,,0
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,473,"LAIA, nes",,,,,,,,,5603,"Nonwovens, whether or not impregnated, coated, covered or laminated.",8,Weight in kilograms,36261,,,,36261,,123744,,,0
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,724,Spain,ESP,,,,,,,,5603,"Nonwovens, whether or not impregnated, coated, covered or laminated.",8,Weight in kilograms,31113,,,,31113,,99162,,,0
H2,2004,2004,2004,4,0,2,Export,266,Gabon,GAB,768,Togo,TGO,,,,,,,,5603,"Nonwovens, whether or not impregnated, coated, covered or laminated.",8,Weight in kilograms,2488,,,,2488,,3039,,,0
H2,2004,2004,2004,4,0,1,Import,266,Gabon,GAB,792,Turkey,TUR,,,,,,,,5603,"Nonwovens, whether or not impregnated, coated, covered or laminated.",8,Weight in kilograms,8542,,,,8542,,27337,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,0,World,WLD,,,,,,,,621010,Garments made up of fabrics of 56.02/56.03,8,Weight in kilograms,2339,,,,2339,,20905,,,0
H2,2004,2004,2004,6,1,2,Export,266,Gabon,GAB,0,World,WLD,,,,,,,,621010,Garments made up of fabrics of 56.02/56.03,8,Weight in kilograms,38,,,,38,,661,,,0
H2,2004,2004,2004,6,1,1,Import,266,Gabon,GAB,251,France,FRA,,,,,,,,621010,Garments made up of fabrics of 56.02/56.03,8,Weight in kilograms,1086,,,,1086,,17307,,,0
