Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,1,No Quantity,0,,,,,,56220,,,6
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2,,,,51,,22680,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,156,China,CHN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,23939,,,,23939,,33089,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,1,No Quantity,0,,,,,,305,,,6
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,710,South Africa,ZAF,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2,,,,25,,146,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,47095,,,,47095,,11823,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,196,Cyprus,CYP,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,3555,,,,3555,,1906,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,276,Germany,DEU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,3660,,,,3660,,596,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,360,Indonesia,IDN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1335,,,,1335,,744,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,422,Lebanon,LBN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,60,,,,60,,15,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,699,India,IND,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,17208,,,,17208,,2585,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,710,South Africa,ZAF,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,838,,,,838,,290,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,784,United Arab Emirates,ARE,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,18808,,,,18808,,5398,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,826,United Kingdom,GBR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1631,,,,1631,,287,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,0,World,WLD,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,1,,,,12,,246,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,56,Belgium,BEL,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,1,,,,12,,246,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,0,World,WLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,2114,,,,3223,,401690,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,56,Belgium,BEL,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,300,,,,417,,73984,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,251,France,FRA,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,16,,,,16,,2475,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,276,Germany,DEU,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,1388,,,,1392,,12302,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,381,Italy,ITA,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,8,,,,8,,2517,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,392,Japan,JPN,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,5,,,,789,,194703,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,410,Rep. of Korea,KOR,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,225,,,,225,,17750,,,0
H4,2017,2017,2017,6,1,1,Import,270,Gambia,GMB,458,Malaysia,MYS,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,9,,,,9,,297,,,0
