Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,196,,,,,,7412,,,4
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,348,Hungary,HUN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,30,,,,40,,282,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,381,Italy,ITA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,12,,,,14,,153,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,528,Netherlands,NLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,0,,,,560,,87,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,643,Russian Federation,RUS,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1,,,,2,,84,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,792,Turkey,TUR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,148,,,,16452,,4996,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,804,Ukraine,UKR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,0,,,,,,678,,,4
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,826,United Kingdom,GBR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,4,,,,,,1129,,,4
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,10143,,,,10143,,7692527,,,0
H5,2017,2017,2017,6,1,2,Export,268,Georgia,GEO,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,635,,,,635,,446152,,,0
H5,2017,2017,2017,6,1,3,Re-Export,268,Georgia,GEO,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,635,,,,635,,446152,,,0
H5,2017,2017,2017,6,1,2,Export,268,Georgia,GEO,31,Azerbaijan,AZE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,440,,,,440,,342500,,,0
H5,2017,2017,2017,6,1,3,Re-Export,268,Georgia,GEO,31,Azerbaijan,AZE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,440,,,,440,,342500,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2232,,,,2232,,1374081,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,100,Bulgaria,BGR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,507,,,,507,,42819,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,156,China,CHN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,119,,,,119,,728950,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,543,,,,543,,125893,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4883,,,,4883,,4712677,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,120,,,,120,,37639,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,347,,,,347,,29062,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,442,Luxembourg,LUX,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,43,,,,43,,9933,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,438,,,,438,,242385,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,643,Russian Federation,RUS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,472,,,,472,,243303,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,423,,,,423,,114130,,,0
H5,2017,2017,2017,6,1,2,Export,268,Georgia,GEO,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,195,,,,195,,103652,,,0
H5,2017,2017,2017,6,1,3,Re-Export,268,Georgia,GEO,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,195,,,,195,,103652,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,792,Turkey,TUR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,8,,,,8,,9684,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3,,,,3,,21952,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,,,1,,13,,,0
H5,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,444573,,,,444573,,1425248,,,0
H5,2017,2017,2017,6,1,2,Export,268,Georgia,GEO,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,6232,,,,6232,,32120,,,0
H5,2017,2017,2017,6,1,3,Re-Export,268,Georgia,GEO,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,6101,,,,6101,,31704,,,0
H5,2017,2017,2017,6,1,2,Export,268,Georgia,GEO,31,Azerbaijan,AZE,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,6025,,,,6025,,29980,,,0
