Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,3040069,,,,,,477279,,,6
H5,2018,2018,2018,6,1,2,Export,288,Ghana,GHA,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2561,,,,286,,458,,,2
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,36,Australia,AUS,,,,,,,,280440,Oxygen,12,Volume in cubic meters,872,,,,12,,136,,,2
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,56,Belgium,BEL,,,,,,,,280440,Oxygen,12,Volume in cubic meters,138157,,,,58040,,21690,,,2
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,156,China,CHN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,12264,,,,5418,,1925,,,2
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,251,France,FRA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,42466,,,,430,,6667,,,2
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,300,Greece,GRC,,,,,,,,280440,Oxygen,12,Volume in cubic meters,32218,,,,,,5058,,,6
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,384,Côte d'Ivoire,CIV,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2685041,,,,480863,,421541,,,2
H5,2018,2018,2018,6,1,2,Export,288,Ghana,GHA,384,Côte d'Ivoire,CIV,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2561,,,,286,,458,,,2
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,710,South Africa,ZAF,,,,,,,,280440,Oxygen,12,Volume in cubic meters,10851,,,,30,,1703,,,2
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,784,United Arab Emirates,ARE,,,,,,,,280440,Oxygen,12,Volume in cubic meters,101041,,,,,,15863,,,6
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,788,Tunisia,TUN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,3219,,,,44,,505,,,2
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,826,United Kingdom,GBR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,12830,,,,20465,,2014,,,2
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1104,,,,20,,173,,,2
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,248284,,,,248284,,15556725,,,0
H5,2018,2018,2018,6,1,2,Export,288,Ghana,GHA,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1209,,,,,,1131,,,6
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2678,,,,2678,,454454,,,0
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,156,China,CHN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,6013,,,,6013,,282011,,,0
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,111067,,,,111067,,3900327,,,0
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,18,,,,18,,1003,,,0
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1566,,,,1566,,29709,,,0
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,360,Indonesia,IDN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,5147,,,,5147,,136066,,,0
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,392,Japan,JPN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,79,,,,79,,9055,,,0
H5,2018,2018,2018,6,1,2,Export,288,Ghana,GHA,430,Liberia,LBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1111,,,,1111,,1039,,,0
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,566,Nigeria,NGA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,5,,,,5,,357,,,0
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,591,Panama,PAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3931,,,,3931,,58748,,,0
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,78747,,,,78747,,9345269,,,0
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,702,Singapore,SGP,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4444,,,,4444,,1179695,,,0
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,710,South Africa,ZAF,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4,,,,4,,3835,,,0
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,757,Switzerland,CHE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,56,,,,56,,21754,,,0
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,784,United Arab Emirates,ARE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,23942,,,,23942,,40987,,,0
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,792,Turkey,TUR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,22,,,,22,,1484,,,0
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,10242,,,,10242,,50155,,,0
H5,2018,2018,2018,6,1,2,Export,288,Ghana,GHA,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,98,,,,,,91,,,6
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,318,,,,318,,41807,,,0
H5,2018,2018,2018,6,1,1,Import,288,Ghana,GHA,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1110328,,,,1110328,,2748866,,,0
