Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,300,Greece,GRC,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,16779732,,,,22128620,,2760581,,,2
H5,2017,2017,2017,6,1,2,Export,300,Greece,GRC,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,184424,,,,241360,,104648,,,0
H5,2017,2017,2017,6,1,2,Export,300,Greece,GRC,44,Bahamas,BHS,,,,,,,,280440,Oxygen,12,Volume in cubic meters,695,,,,1047,,8800,,,0
H5,2017,2017,2017,6,1,1,Import,300,Greece,GRC,100,Bulgaria,BGR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,8131168,,,,10792502,,1076200,,,0
H5,2017,2017,2017,6,1,2,Export,300,Greece,GRC,100,Bulgaria,BGR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,84927,,,,114934,,23425,,,0
H5,2017,2017,2017,6,1,2,Export,300,Greece,GRC,196,Cyprus,CYP,,,,,,,,280440,Oxygen,12,Volume in cubic meters,70,,,,92,,75,,,0
H5,2017,2017,2017,6,1,1,Import,300,Greece,GRC,251,France,FRA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,11659,,,,14506,,19718,,,0
H5,2017,2017,2017,6,1,1,Import,300,Greece,GRC,276,Germany,DEU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,2,,,,3,,63,,,0
H5,2017,2017,2017,6,1,2,Export,300,Greece,GRC,276,Germany,DEU,,,,,,,,280440,Oxygen,12,Volume in cubic meters,28,,,,35,,273,,,0
H5,2017,2017,2017,6,1,1,Import,300,Greece,GRC,348,Hungary,HUN,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1822,,,,2395,,5990,,,0
H5,2017,2017,2017,6,1,1,Import,300,Greece,GRC,381,Italy,ITA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,4,,,,8,,94,,,0
H5,2017,2017,2017,6,1,2,Export,300,Greece,GRC,430,Liberia,LBR,,,,,,,,280440,Oxygen,12,Volume in cubic meters,90,,,,345,,1534,,,0
H5,2017,2017,2017,6,1,2,Export,300,Greece,GRC,470,Malta,MLT,,,,,,,,280440,Oxygen,12,Volume in cubic meters,249,,,,337,,13702,,,0
H5,2017,2017,2017,6,1,1,Import,300,Greece,GRC,528,Netherlands,NLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,8255,,,,274,,1752,,,2
H5,2017,2017,2017,6,1,2,Export,300,Greece,GRC,528,Netherlands,NLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,1,,,,50,,64,,,0
