Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,36337,,184933,,,2
H5,2017,2017,2017,6,1,2,Export,304,Greenland,GRL,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,1552,,926,,,2
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,208,Denmark,DNK,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,36337,,184933,,,2
H5,2017,2017,2017,6,1,2,Export,304,Greenland,GRL,208,Denmark,DNK,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,1552,,926,,,2
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1762,,,,1762,,384275,,,0
H5,2017,2017,2017,6,1,2,Export,304,Greenland,GRL,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3,,,,3,,31,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,20,Andorra,AND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,15,,,,15,,1711,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1747,,,,1747,,382563,,,0
H5,2017,2017,2017,6,1,2,Export,304,Greenland,GRL,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3,,,,3,,31,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,30901,,,,30901,,81920,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,156,China,CHN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,3,,,,3,,43,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,203,Czechia,CZE,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,4615,,,,4615,,6331,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,208,Denmark,DNK,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,15338,,,,15338,,49481,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,233,Estonia,EST,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,442,,,,442,,3101,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,246,Finland,FIN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,44,,,,44,,851,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,251,France,FRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,702,,,,702,,6970,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,276,Germany,DEU,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,3158,,,,3158,,4063,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,528,Netherlands,NLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5209,,,,5209,,5662,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,579,Norway,NOR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,493,,,,493,,2685,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,620,Portugal,PRT,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,837,,,,837,,1733,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,752,Sweden,SWE,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,20,,,,20,,558,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,826,United Kingdom,GBR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,40,,,,40,,438,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,0,World,WLD,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,1380,,,,1380,,115594,,,0
H5,2017,2017,2017,6,1,2,Export,304,Greenland,GRL,0,World,WLD,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,3,,,,3,,57,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,208,Denmark,DNK,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,1377,,,,1377,,115303,,,0
H5,2017,2017,2017,6,1,2,Export,304,Greenland,GRL,208,Denmark,DNK,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,3,,,,3,,57,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,276,Germany,DEU,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,1,,,,1,,5,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,842,USA,USA,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,2,,,,2,,285,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,0,World,WLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,5934,,,,5934,,158503,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,208,Denmark,DNK,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,1176,,,,1176,,120116,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,276,Germany,DEU,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,1,,,,1,,29,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,392,Japan,JPN,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,1,,,,1,,228,,,0
H5,2017,2017,2017,6,1,1,Import,304,Greenland,GRL,826,United Kingdom,GBR,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,1,,,,1,,17,,,0
