Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,37321,,27434,,,2
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,780,Trinidad and Tobago,TTO,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,4663,,11699,,,2
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,32658,,15735,,,2
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,780,,,,780,,97979,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,52,Barbados,BRB,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,222,,,,222,,39269,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,13,,,,13,,2553,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,64,,,,64,,5543,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,408,Dem. People's Rep. of Korea,PRK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,16,,,,16,,989,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,91,,,,91,,13352,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,40,,,,40,,4018,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,241,,,,241,,23354,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2,,,,2,,205,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,91,,,,91,,8692,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,98609,,,,98609,,246351,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,52,Barbados,BRB,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1666,,,,1666,,9651,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,70,Bosnia Herzegovina,BIH,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,175,,,,175,,993,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,76,Brazil,BRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,9572,,,,9572,,5864,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,124,Canada,CAN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,84,,,,84,,111,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,156,China,CHN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,465,,,,465,,1411,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,528,Netherlands,NLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,1000,,,,1000,,15843,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,531,Curaçao,CUW,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,18165,,,,18165,,47431,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,591,Panama,PAN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,288,,,,288,,378,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,604,Peru,PER,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,6166,,,,6166,,4166,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,699,India,IND,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,30,,,,30,,1264,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,740,Suriname,SUR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,11611,,,,11611,,21071,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,780,Trinidad and Tobago,TTO,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,12220,,,,12220,,31857,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,826,United Kingdom,GBR,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,12181,,,,12181,,31676,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,842,USA,USA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,24886,,,,24886,,74363,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,899,"Areas, nes",,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,100,,,,100,,264,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,0,World,WLD,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,44,,,,44,,8213,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,780,Trinidad and Tobago,TTO,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,14,,,,14,,1935,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,826,United Kingdom,GBR,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,5,,,,5,,797,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,842,USA,USA,,,,,,,,382100,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",8,Weight in kilograms,25,,,,25,,5481,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,0,World,WLD,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,13772,,,,13772,,750317,,,0
H4,2014,2014,2014,6,1,1,Import,308,Grenada,GRD,52,Barbados,BRB,,,,,,,,382200,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",8,Weight in kilograms,866,,,,866,,38601,,,0
