Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,1994,1994,1994,6,1,1,Import,312,Guadeloupe,GLP,0,World,WLD,,,,,,,,280440,Oxygen,8,Weight in kilograms,19268,,,,19268,,33619,,,0
H0,1994,1994,1994,6,1,2,Export,312,Guadeloupe,GLP,0,World,WLD,,,,,,,,280440,Oxygen,8,Weight in kilograms,1687,,,,1687,,2474,,,0
H0,1994,1994,1994,6,1,1,Import,312,Guadeloupe,GLP,251,France,FRA,,,,,,,,280440,Oxygen,8,Weight in kilograms,52,,,,52,,4690,,,0
H0,1994,1994,1994,6,1,2,Export,312,Guadeloupe,GLP,251,France,FRA,,,,,,,,280440,Oxygen,8,Weight in kilograms,1687,,,,1687,,2474,,,0
H0,1994,1994,1994,6,1,1,Import,312,Guadeloupe,GLP,254,French Guiana,GUF,,,,,,,,280440,Oxygen,8,Weight in kilograms,19199,,,,19199,,26932,,,0
H0,1994,1994,1994,6,1,1,Import,312,Guadeloupe,GLP,276,Germany,DEU,,,,,,,,280440,Oxygen,8,Weight in kilograms,17,,,,17,,1997,,,0
H0,1995,1995,1995,6,1,1,Import,312,Guadeloupe,GLP,0,World,WLD,,,,,,,,280440,Oxygen,8,Weight in kilograms,17312,,,,17312,,32457,,,0
H0,1995,1995,1995,6,1,1,Import,312,Guadeloupe,GLP,251,France,FRA,,,,,,,,280440,Oxygen,8,Weight in kilograms,4687,,,,4687,,10180,,,0
H0,1995,1995,1995,6,1,1,Import,312,Guadeloupe,GLP,254,French Guiana,GUF,,,,,,,,280440,Oxygen,8,Weight in kilograms,12625,,,,12625,,22277,,,0
H0,1994,1994,1994,6,1,1,Import,312,Guadeloupe,GLP,0,World,WLD,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,6749,,,,6749,,3086106,,,0
H0,1994,1994,1994,6,1,2,Export,312,Guadeloupe,GLP,0,World,WLD,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,2,,,,2,,1315,,,0
H0,1994,1994,1994,6,1,2,Export,312,Guadeloupe,GLP,28,Antigua and Barbuda,ATG,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,2,,,,2,,1315,,,0
H0,1994,1994,1994,6,1,1,Import,312,Guadeloupe,GLP,251,France,FRA,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,6748,,,,6748,,3085402,,,0
H0,1994,1994,1994,6,1,1,Import,312,Guadeloupe,GLP,276,Germany,DEU,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,1,,,,1,,704,,,0
H0,1995,1995,1995,6,1,1,Import,312,Guadeloupe,GLP,0,World,WLD,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,10204,,,,10204,,5297207,,,0
H0,1995,1995,1995,6,1,2,Export,312,Guadeloupe,GLP,0,World,WLD,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,11,,,,11,,4022,,,0
H0,1995,1995,1995,6,1,1,Import,312,Guadeloupe,GLP,58,Belgium-Luxembourg,BEL,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,257,,,,257,,245550,,,0
H0,1995,1995,1995,6,1,1,Import,312,Guadeloupe,GLP,251,France,FRA,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,9940,,,,9940,,5049900,,,0
H0,1995,1995,1995,6,1,2,Export,312,Guadeloupe,GLP,251,France,FRA,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,6,,,,6,,1808,,,0
H0,1995,1995,1995,6,1,2,Export,312,Guadeloupe,GLP,474,Martinique,MTQ,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,5,,,,5,,2214,,,0
H0,1995,1995,1995,6,1,1,Import,312,Guadeloupe,GLP,752,Sweden,SWE,,,,,,,,300220,"Vaccines, human use",8,Weight in kilograms,5,,,,5,,1148,,,0
