Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,198743,,51143,,,6
H5,2017,2017,2017,6,1,2,Export,320,Guatemala,GTM,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,10330744,,2546666,,,2
H5,2017,2017,2017,6,1,2,Export,320,Guatemala,GTM,84,Belize,BLZ,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,399168,,132082,,,2
H5,2017,2017,2017,6,1,2,Export,320,Guatemala,GTM,188,Costa Rica,CRI,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,422302,,71250,,,2
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,222,El Salvador,SLV,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,192,,865,,,2
H5,2017,2017,2017,6,1,2,Export,320,Guatemala,GTM,222,El Salvador,SLV,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,265356,,64350,,,2
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,276,Germany,DEU,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,10348,,2759,,,6
H5,2017,2017,2017,6,1,2,Export,320,Guatemala,GTM,340,Honduras,HND,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,4954962,,1082792,,,2
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,484,Mexico,MEX,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,2146,,3818,,,2
H5,2017,2017,2017,6,1,2,Export,320,Guatemala,GTM,558,Nicaragua,NIC,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,2993040,,996202,,,2
H5,2017,2017,2017,6,1,2,Export,320,Guatemala,GTM,591,Panama,PAN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,1295916,,199990,,,2
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,780,Trinidad and Tobago,TTO,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,185360,,38761,,,2
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,697,,4940,,,2
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,133112,,,,133112,,38191273,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,32,Argentina,ARG,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,404,,,,404,,74429,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,44477,,,,44477,,18665999,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,204,,,,204,,62586,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,156,China,CHN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,560,,,,560,,160520,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,170,Colombia,COL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,152,,,,152,,62250,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,188,Costa Rica,CRI,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,15,,,,15,,190,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,192,Cuba,CUB,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,16,,,,16,,8304,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,141,,,,141,,5334,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4907,,,,4907,,1485268,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,,,1,,105,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,332,Haiti,HTI,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1,,,,1,,44,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,344,"China, Hong Kong SAR",HKG,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1218,,,,1218,,92022,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,360,Indonesia,IDN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1015,,,,1015,,123397,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,372,Ireland,IRL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,41,,,,41,,34054,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,392,Japan,JPN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1784,,,,1784,,650893,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1878,,,,1878,,68491,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,484,Mexico,MEX,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,13,,,,13,,171,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,6320,,,,6320,,2853168,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,591,Panama,PAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,15580,,,,15580,,2239519,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,643,Russian Federation,RUS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,56,,,,56,,24223,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,17440,,,,17440,,1476818,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,724,Spain,ESP,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1087,,,,1087,,283426,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,757,Switzerland,CHE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,609,,,,609,,157968,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,35193,,,,35193,,9662094,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,5702346,,,,5702346,,8581779,,,0
H5,2017,2017,2017,6,1,2,Export,320,Guatemala,GTM,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,19851747,,,,19851747,,9897225,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,32,Argentina,ARG,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,559,,,,559,,1158,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,163116,,,,163116,,179140,,,0
H5,2017,2017,2017,6,1,2,Export,320,Guatemala,GTM,84,Belize,BLZ,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,3610,,,,3610,,11289,,,0
H5,2017,2017,2017,6,1,2,Export,320,Guatemala,GTM,152,Chile,CHL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,14238,,,,14238,,17617,,,0
H5,2017,2017,2017,6,1,1,Import,320,Guatemala,GTM,156,China,CHN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,98561,,,,98561,,180057,,,0
