Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,44373,,13050,,,0
H4,2013,2013,2013,6,1,2,Export,324,Guinea,GIN,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,,,,,60,,20,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,56,Belgium,BEL,,,,,,,,280440,Oxygen,1,No Quantity,,,,,77,,340,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,466,Mali,MLI,,,,,,,,280440,Oxygen,1,No Quantity,,,,,37106,,11773,,,0
H4,2013,2013,2013,6,1,2,Export,324,Guinea,GIN,466,Mali,MLI,,,,,,,,280440,Oxygen,1,No Quantity,,,,,60,,20,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,694,Sierra Leone,SLE,,,,,,,,280440,Oxygen,1,No Quantity,,,,,7190,,938,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,65880,,,,65880,,8037804,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2414,,,,2414,,457253,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,76,Brazil,BRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,227,,,,227,,142850,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,100,Bulgaria,BGR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,34,,,,34,,4322,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,90,,,,90,,13499,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,156,China,CHN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,12296,,,,12296,,20897,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2076,,,,2076,,614650,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,7585,,,,7585,,3014269,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,458,Malaysia,MYS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1072,,,,1072,,12398,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,153,,,,153,,3376,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,643,Russian Federation,RUS,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3222,,,,3222,,636537,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,686,Senegal,SEN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,3,,,,3,,4391,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,36275,,,,36275,,3088545,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,710,South Africa,ZAF,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,59,,,,59,,15811,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,757,Switzerland,CHE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,205,,,,205,,7229,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,842,USA,USA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,169,,,,169,,1779,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,0,World,WLD,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,109945,,,,109945,,73995,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,56,Belgium,BEL,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,7519,,,,7519,,9080,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,156,China,CHN,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,95303,,,,95303,,51925,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,251,France,FRA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,182,,,,182,,8374,,,0
H4,2013,2013,2013,6,1,1,Import,324,Guinea,GIN,381,Italy,ITA,,,,,,,,380894,Disinfectants; other than containing goods specified in Subheading Note 1 in this Chapter; put up in forms or packings for retail sale or as preparations or articles,8,Weight in kilograms,267,,,,267,,721,,,0
