Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,1,Import,328,Guyana,GUY,0,World,WLD,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,1063121,,381765,,,2
H5,2019,2019,2019,6,1,2,Export,328,Guyana,GUY,0,World,WLD,,,,,,,,280440,Oxygen,5,Number of items,39,,,,135,,3564,,,0
H5,2019,2019,2019,6,1,3,Re-Export,328,Guyana,GUY,0,World,WLD,,,,,,,,280440,Oxygen,5,Number of items,39,,,,135,,3564,,,0
H5,2019,2019,2019,6,1,1,Import,328,Guyana,GUY,156,China,CHN,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,5,,52,,,2
H5,2019,2019,2019,6,1,1,Import,328,Guyana,GUY,740,Suriname,SUR,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,30233,,7681,,,2
H5,2019,2019,2019,6,1,1,Import,328,Guyana,GUY,780,Trinidad and Tobago,TTO,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,1010625,,356310,,,2
H5,2019,2019,2019,6,1,2,Export,328,Guyana,GUY,780,Trinidad and Tobago,TTO,,,,,,,,280440,Oxygen,5,Number of items,39,,,,135,,3564,,,0
H5,2019,2019,2019,6,1,3,Re-Export,328,Guyana,GUY,780,Trinidad and Tobago,TTO,,,,,,,,280440,Oxygen,5,Number of items,39,,,,135,,3564,,,0
H5,2019,2019,2019,6,1,1,Import,328,Guyana,GUY,826,United Kingdom,GBR,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,100,,202,,,2
H5,2019,2019,2019,6,1,1,Import,328,Guyana,GUY,842,USA,USA,,,,,,,,280440,Oxygen,1,No Quantity,0,,,,22158,,17519,,,2
H5,2019,2019,2019,6,1,1,Import,328,Guyana,GUY,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,36733,,,,36733,,2373636,,,0
H5,2019,2019,2019,6,1,2,Export,328,Guyana,GUY,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,1,No Quantity,0,,,,543,,13774,,,0
H5,2019,2019,2019,6,1,1,Import,328,Guyana,GUY,40,Austria,AUT,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,345,,,,345,,54469,,,0
H5,2019,2019,2019,6,1,1,Import,328,Guyana,GUY,52,Barbados,BRB,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,27,,,,27,,13429,,,0
H5,2019,2019,2019,6,1,1,Import,328,Guyana,GUY,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,2430,,,,2430,,321293,,,0
H5,2019,2019,2019,6,1,1,Import,328,Guyana,GUY,208,Denmark,DNK,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1532,,,,1532,,242066,,,0
