Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,4542,,,,4950330,,1513570,,,6
H5,2017,2017,2017,6,1,2,Export,340,Honduras,HND,0,World,WLD,,,,,,,,280440,Oxygen,12,Volume in cubic meters,270,,,,45,,40,,,2
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,188,Costa Rica,CRI,,,,,,,,280440,Oxygen,12,Volume in cubic meters,332,,,,181631,,110813,,,2
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,320,Guatemala,GTM,,,,,,,,280440,Oxygen,12,Volume in cubic meters,4170,,,,4757129,,1391471,,,0
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,484,Mexico,MEX,,,,,,,,280440,Oxygen,12,Volume in cubic meters,14,,,,316,,2758,,,0
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,25,,,,11253,,8527,,,6
H5,2017,2017,2017,6,1,2,Export,340,Honduras,HND,842,USA,USA,,,,,,,,280440,Oxygen,12,Volume in cubic meters,270,,,,45,,40,,,2
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,0,World,WLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,71103,,,,71103,,17566154,,,0
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,56,Belgium,BEL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,13228,,,,13228,,1789534,,,0
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,100,Bulgaria,BGR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,4,,,,4,,1182,,,0
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,124,Canada,CAN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,635,,,,635,,440055,,,0
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,251,France,FRA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,1255,,,,1255,,607001,,,0
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,276,Germany,DEU,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,22239,,,,22239,,5656699,,,0
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,360,Indonesia,IDN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,646,,,,646,,113723,,,0
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,372,Ireland,IRL,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,440,,,,440,,75876,,,0
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,381,Italy,ITA,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,725,,,,725,,43723,,,0
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,392,Japan,JPN,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,713,,,,713,,198536,,,0
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,410,Rep. of Korea,KOR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,10677,,,,10677,,3570834,,,0
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,528,Netherlands,NLD,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,899,,,,899,,410870,,,0
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,699,India,IND,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,7447,,,,7447,,1258344,,,0
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,757,Switzerland,CHE,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,7271,,,,7271,,1411253,,,0
H5,2017,2017,2017,6,1,1,Import,340,Honduras,HND,826,United Kingdom,GBR,,,,,,,,300220,Vaccines; for human medicine,8,Weight in kilograms,65,,,,65,,15641,,,0
